id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1570659,275175,آناباز,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,,,per,هرمس,false,1345392,23,881,896,229,30,5:80|4:78|3:51|2:11|1:9|total:229,1924,,,3.91,9,4,['275175'],['Saint-John Perse'],['3.87'],['658209'],['محمدعلی سپانلو'],['3.40'],
33829425,275175,کارل گوستاو یونگ: واژه‌ها و نگاره‌ها,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500290293l/33829425._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500290293l/33829425._SY75_.jpg,2012,,,per,افکار,false,511503,6,214,210,54,6,5:19|4:15|3:15|2:5|1:0|total:54,1976,4,1,3.89,6,2,"['38285', '16293919']","['C.G. Jung', 'Aniela Jaffé']","['4.21', '3.33']","['1020906', '16293920']","['رضا رضایی', 'مهناز خزائیلی']","['3.64', '3.33']",کارل گوستاو یونگ، روانشناس و روان پزشک بزرگ سوئیسی، یکی از مهم‌ترین چهره‌های قرن بیستم است و تاثیر عمیقی بر دیدگاه‌های بشر امروز گذاشته است. آرا و نظریات او در حوزهٔ «تداعی‌های ذهنی»، «عقده‌های روانی»، «شخصیت‌های درون گرا و برون گرا» و «ناخودآگاه جمعی» عملا مسیر افکار و عقاید را در بسیاری از رشته‌های علوم انسانی تغییر داده است. <br />آنیلا یافه، ویراستار آثار یونگ، در کتاب حاضر زندگی و کارهای یونگ را از منشور «واژه‌ها و نگاره‌ها» ی او بررسی کرده و با شناساندن شخصیت و نظریات یونگ دین خود را به استاد ادا کرده است.
