id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1388895,1197,شبی بیرون از خانه,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,,,per,نیلا,false,1378976,6,140,288,90,6,5:5|4:27|3:43|2:11|1:4|total:90,1961,1,1,3.20,37,1,['1197'],['Harold Pinter'],['3.79'],[],[],[],
15996594,1197,شبی بیرون از خانه,,9789646900714,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347112378l/15996594._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347112378l/15996594._SY75_.jpg,2005,,,per,نیلا,false,1378976,6,140,288,90,6,5:5|4:27|3:43|2:11|1:4|total:90,1961,1,1,3.20,12,2,['1197'],['Harold Pinter'],['3.79'],['1223932'],['احسان نوروزی'],['3.51'],
2811026,1197,وقت ضیافت,9646900410,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,,,per,نیلا,false,2836946,2,109,184,60,9,5:4|4:16|3:24|2:12|1:4|total:60,2002,5,1,3.07,31,8,"['1197', '4077271']","['Harold Pinter', 'امیر امجد']","['3.79', '3.48']",[],[],[],
1999089,1197,خیانت و دو نمایش‌نامه‌ی دیگر,,9789648573008,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335482599l/1999089._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335482599l/1999089._SX50_.jpg,2007,,,per,نیلا,false,2002897,1,112,163,43,7,5:8|4:21|3:11|2:3|1:0|total:43,2007,1,1,3.79,43,7,['1197'],['Harold Pinter'],['3.79'],['4938599'],['شعله آذر'],['3.47'],
42278836,1197,کلکسیون,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1539271732l/42278836._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1539271732l/42278836._SX50_.jpg,1349,4,,per,اشرفی,false,58435432,7,50,105,30,3,5:4|4:10|3:14|2:1|1:1|total:30,1962,,,3.50,5,3,['1197'],['Harold Pinter'],['3.79'],['18514657'],['منیژه کامیاب'],['3.20'],"Stella returns from her dress collection in Leeds to tell James, her husband, that she has been unfaithful. James confronts Bill, pressing for the truth, already determined to believe the worst. Bill confesses that he and Stella had only talked about spending the night together. It had amused him to perpetuate Stella's story - to hurt his friend Harry. Is this the truth? Stella is silent."
25526768,1197,پیشخدمت,,9789643127114,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431445725l/25526768._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431445725l/25526768._SY75_.jpg,,,,per,نشر نی,false,45313706,1,19,40,10,0,5:2|4:6|3:2|2:0|1:0|total:10,,,,4.00,10,0,['1197'],['Harold Pinter'],['3.79'],['4938599'],['شعله آذر'],['3.47'],
49589446,1197,از روی دست رمان نویس,,9789645067425,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,4812076,2,31,31,7,2,5:4|4:2|3:1|2:0|1:0|total:7,1957,,,4.43,0,0,['777708'],['Kay Dick'],['3.80'],['2923990'],['محسن سلیمانی'],['4.04'],"For many years the ""Paris Review"" interviews have been justly famous for giving deeper insight and understanding of the creative process. In this selection from the interviews, 15 writers discuss what they think of their own, and other people's work, their lives and the problems of writing in the contemporary world."
35221732,1197,کوتوله ها و دو نمایشنامه دیگر,,9789642437672,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495698497l/35221732._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495698497l/35221732._SX50_.jpg,1395,,,per,افراز,false,56565132,1,14,28,8,0,5:1|4:3|3:3|2:1|1:0|total:8,,,,3.50,8,0,['1197'],['Harold Pinter'],['3.79'],[],[],[],
40502643,1197,جشن و مدرسه‌ی شبانه,,9786001220241,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528596972l/40502643._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528596972l/40502643._SY75_.jpg,1393,,,per,انتشارات نیل‍ا,false,62831858,1,7,14,5,0,5:0|4:1|3:2|2:2|1:0|total:5,,,,2.80,5,0,['1197'],['Harold Pinter'],['3.79'],[],[],[],دو نمایش‌نامه از هرولد پینتر.
29132513,1197,ده گفت‌و‌گو,,9789643620882,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1455610031l/29132513._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1455610031l/29132513._SX50_.jpg,2010,,,per,چشمه,false,49383087,1,9,8,3,0,5:0|4:0|3:2|2:1|1:0|total:3,1990,,,2.67,3,0,"['3535', '1455', '44202', '8120', '7902', '209681', '457554', '1197', '1155349']","['William Faulkner', 'Ernest Hemingway', 'Mikhail Sholokhov', 'Arthur  Miller', 'Boris Pasternak', 'Chingiz Aitmatov', 'Arnold Wesker', 'Harold Pinter', 'Vasily Shukshin']","['3.85', '3.83', '4.08', '3.58', '4.03', '4.14', '3.51', '3.79', '4.13']",['230135'],['احمد پوری'],['3.53'],
