id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1380051,488659,دیوار,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1970,,,per,كتابهای پرستو,false,12776,141,46031,81622,20009,643,5:7310|4:8026|3:3808|2:679|1:186|total:20009,1939,,,4.08,241,20,"['1466', '13607545']","['Jean-Paul Sartre', 'Sadegh Hedayat']","['3.99', '3.80']",[],[],[],"'The Wall', the lead story in this collection, introduces three political prisoners on the night prior to their execution. Through the gaze of an impartial doctor--seemingly there for the men's solace--their mental descent is charted in exquisite, often harrowing detail. And as the morning draws inexorably closer, the men cross the psychological wall between life and death, long before the first shot rings out.<br /><br />This brilliant snapshot of life in anguish is the perfect introduction to a collection of stories where the neurosis of the modern world is mirrored in the lives of the people that inhabit it."
1419255,488659,ديوار,9649452540,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,per,,false,12776,141,46031,81622,20009,643,5:7310|4:8026|3:3808|2:679|1:186|total:20009,1939,,,4.08,88,5,['1466'],['Jean-Paul Sartre'],['3.99'],[],[],[],"'The Wall', the lead story in this collection, introduces three political prisoners on the night prior to their execution. Through the gaze of an impartial doctor--seemingly there for the men's solace--their mental descent is charted in exquisite, often harrowing detail. And as the morning draws inexorably closer, the men cross the psychological wall between life and death, long before the first shot rings out.<br /><br />This brilliant snapshot of life in anguish is the perfect introduction to a collection of stories where the neurosis of the modern world is mirrored in the lives of the people that inhabit it."
3228257,488659,دیوار,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1978,,,per,جاویدان,false,12776,141,46031,81622,20009,643,5:7310|4:8026|3:3808|2:679|1:186|total:20009,1939,,,4.08,88,3,['1466'],['Jean-Paul Sartre'],['3.99'],['13607545'],['Sadegh Hedayat'],['3.80'],"'The Wall', the lead story in this collection, introduces three political prisoners on the night prior to their execution. Through the gaze of an impartial doctor--seemingly there for the men's solace--their mental descent is charted in exquisite, often harrowing detail. And as the morning draws inexorably closer, the men cross the psychological wall between life and death, long before the first shot rings out.<br /><br />This brilliant snapshot of life in anguish is the perfect introduction to a collection of stories where the neurosis of the modern world is mirrored in the lives of the people that inhabit it."
4768982,488659,ديوار,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,,,per,انتشارات سيمرغ,false,12776,141,46031,81622,20009,643,5:7310|4:8026|3:3808|2:679|1:186|total:20009,1939,,,4.08,35,0,['1466'],['Jean-Paul Sartre'],['3.99'],['13607545'],['Sadegh Hedayat'],['3.80'],"'The Wall', the lead story in this collection, introduces three political prisoners on the night prior to their execution. Through the gaze of an impartial doctor--seemingly there for the men's solace--their mental descent is charted in exquisite, often harrowing detail. And as the morning draws inexorably closer, the men cross the psychological wall between life and death, long before the first shot rings out.<br /><br />This brilliant snapshot of life in anguish is the perfect introduction to a collection of stories where the neurosis of the modern world is mirrored in the lives of the people that inhabit it."
33017098,488659,دیوار,9645858143,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479628429l/33017098._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479628429l/33017098._SY75_.jpg,,,,per,نشر جامه‌دران,false,12776,141,46031,81622,20009,643,5:7310|4:8026|3:3808|2:679|1:186|total:20009,1939,,,4.08,14,2,['13607545'],['Sadegh Hedayat'],['3.80'],[],[],[],"'The Wall', the lead story in this collection, introduces three political prisoners on the night prior to their execution. Through the gaze of an impartial doctor--seemingly there for the men's solace--their mental descent is charted in exquisite, often harrowing detail. And as the morning draws inexorably closer, the men cross the psychological wall between life and death, long before the first shot rings out.<br /><br />This brilliant snapshot of life in anguish is the perfect introduction to a collection of stories where the neurosis of the modern world is mirrored in the lives of the people that inhabit it."
