id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
3079425,89330,کوتوله,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528365265l/3079425._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528365265l/3079425._SY75_.jpg,2008,,,per,چشمه,false,95227,68,9742,18077,4757,321,5:1281|4:1831|3:1171|2:361|1:113|total:4757,1944,,,3.80,34,11,['89330'],['Pär Lagerkvist'],['3.80'],['18105543'],['حسین گلابیان'],['3.53'],رمان فلسفی پر لاگرکویست افشاگر هویت‌های فردی و اجتماعی است. داستان در دربار حاکمی در ایتالیای قرون وسطی اتفاق می‌افتد. کوتوله‌ی دربار از زاویه‌ی دید خود وقایع پیرامونی را در زمانی که شهر به محاصره‌ی دشمن درآمده به تصویر می‌کشد. به تدریج درگیری او در اختلافات پیرامونش گسترش یافته و وی به نفرت و وحشت دامن زده و به سمبل شوق توده‌ها به خشونت تبدیل می‌گردد؛<br /><br />همه باید یک‌بار هم که شده این کتاب را بخوانیم، دیگر به این زودی‌ها شبیه آن را نخواهیم یافت. شیطان درون کوتوله از آن ما نیز هست، همگانی است؛
33410095,89330,باراباس,9643200280,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482075408l/33410095._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482075408l/33410095._SX50_.jpg,1999,,,per,فردوس,false,1179249,78,7842,14898,3885,374,5:1017|4:1569|3:997|2:244|1:58|total:3885,1950,,,3.83,3,2,['89330'],['Pär Lagerkvist'],['3.80'],['857978'],['پرویز داریوش'],['3.62'],"Barabbas is the acquitted; the man whose life was exchanged for that of Jesus of Nazareth, crucified upon the hill of Golgotha. <br />Barabbas is a man condemned to have no god. ""Christos Iesus"" is carved on the disk suspended from his neck, but he cannot affirm his faith. He cannot pray. He can only say, ""I want to believe."""
31214878,89330,جلاد,,9786009299898,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469456459l/31214878._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469456459l/31214878._SX50_.jpg,2014,,,per,تهران، فرهنگ آرش؛ 1393,false,6189574,22,1063,2200,624,34,5:115|4:198|3:231|2:60|1:20|total:624,1933,,,3.53,5,2,"['89330', '15516350']","['Pär Lagerkvist', 'اردوان صدقی آزاد']","['3.80', '3.20']",[],[],[],"Le bourreau=Bödeln, Pär Lagerkvist<br />عنوان: جلاد؛ نویسنده: پر لاگرکویست؛ مترجم: اردوان صدقی آزاد؛ تهران، فرهنگ آرش؛ 1393؛ در 118 ص؛ شابک: 9786009299898؛ موضوع: داستانهای نویسندگان سوئدی - قرن 20 م"
43686799,89330,جلاد,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548223705l/43686799._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548223705l/43686799._SX50_.jpg,1978,,,per,آگاه,false,6189574,22,1063,2200,624,34,5:115|4:198|3:231|2:60|1:20|total:624,1933,,,3.53,1,0,['89330'],['Pär Lagerkvist'],['3.80'],['6076122'],['محمود کیانوش'],['3.31'],جلاد کنار میزی نیمه تاریک در میخانه به خودن مشروب نشست. درشت اندام و نیرومند با لباس رسمی خون رنگش در روشنایی تک شمع دودناکی که میخانه دار گذاشته بود..
9488260,89330,میریام,9643126862,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1286785285l/9488260.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1286785285l/9488260._SX50_.jpg,2003,,,per,نشر نی,false,161284,12,381,769,202,15,5:51|4:77|3:59|2:14|1:1|total:202,1967,1,1,3.81,1,0,['89330'],['Pär Lagerkvist'],['3.80'],['4403581'],['علی\u200cاصغر بهرامی'],['3.73'],"Historien om en plötslig drabbande kärlek hos den grymme Herodes, kung över det Heliga Landet, till en kvinna han möter. Hon blir hans hustru av medlidande och offervilja och lyckas för en tid mildra hans onska"
