id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
28417100,18317,گرسنگی,6006414058,9786006414058,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451595665l/28417100._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451595665l/28417100._SX50_.jpg,2012,,,per,Nashr-i Gul'āzīn,false,3135610,427,91033,164608,40643,2855,5:15616|4:15050|3:7151|2:2049|1:777|total:40643,1890,,,4.05,34,13,"['18317', '13845657']","['Knut Hamsun', 'قاسم صنعوی']","['4.00', '3.76']",[],[],[],"One of the most important and controversial writers of the 20th century, Knut Hamsun made literary history with the publication in 1890 of this powerful, autobiographical novel recounting the abject poverty, hunger and despair of a young writer struggling to achieve self-discovery and its ultimate artistic expression. The book probes the psychodynamics of alienation and obsession, painting an unforgettable portrait of a man driven by forces beyond his control to the edge of self-destruction. Hamsun influenced many of the major 20th-century writers who followed him, including Kafka, Joyce and Henry Miller."
17905990,18317,گرسنگی,,9789648673630,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368185775l/17905990._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368185775l/17905990._SX50_.jpg,,,,per,مجموعه انتشاراتی رادمهر,false,3135610,427,91033,164608,40643,2855,5:15616|4:15050|3:7151|2:2049|1:777|total:40643,1890,,,4.05,27,5,"['18317', '7084590']","['Knut Hamsun', 'حبیب گوهری\u200cراد']","['4.00', '3.58']",[],[],[],"One of the most important and controversial writers of the 20th century, Knut Hamsun made literary history with the publication in 1890 of this powerful, autobiographical novel recounting the abject poverty, hunger and despair of a young writer struggling to achieve self-discovery and its ultimate artistic expression. The book probes the psychodynamics of alienation and obsession, painting an unforgettable portrait of a man driven by forces beyond his control to the edge of self-destruction. Hamsun influenced many of the major 20th-century writers who followed him, including Kafka, Joyce and Henry Miller."
15711404,18317,میوه های زمین,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340034661l/15711404._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340034661l/15711404._SX50_.jpg,2010,,,per,گل آذین,false,2435698,205,20792,33288,8087,572,5:3675|4:2536|3:1243|2:407|1:226|total:8087,1917,,,4.12,22,4,"['18317', '363353']","['Knut Hamsun', 'کنوت هامسون']","['4.00', '3.71']",[],[],[],The story of an elemental existence in rural Norway.
20332261,18317,پان,,9789647703598,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388241965l/20332261._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388241965l/20332261._SY75_.jpg,2009,,,per,گل آذین,false,132237,173,14651,29017,7440,425,5:2225|4:2914|3:1745|2:445|1:111|total:7440,1894,1,1,3.90,10,3,['18317'],['Knut Hamsun'],['4.00'],['13845657'],['قاسم صنعوی'],['3.76'],پان رمانی توصیفی نیست بلکه غنایی است. ادواردا دختری ۲۰ ساله است که گلان به او دل می‌بازد، عشقی پرشور پدید می‌آید، ولی دختر هم که نسخه‌ی بدل مونث گلان است فردی آرام نیست، آنان پیچیدگی‌های خود را دارند و در واقع حکایت بی‌تو نمی‌توانم و با تو نمی‌توان را بازگو می‌کنند. آن دو در عین جذب یک‌دیگر به شدت دافع یک‌دیگر هم هستند، غرور متقابل این دو دل‌داده...
1974581,18317,رازها,9647703139,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570451357l/1974581._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570451357l/1974581._SX50_.jpg,2004,,,per,نشر گل آذين,false,32747,95,13384,21992,5375,362,5:2188|4:1916|3:919|2:279|1:73|total:5375,1892,,,4.09,16,4,"['18317', '363353', '13845657']","['Knut Hamsun', 'کنوت هامسون', 'قاسم صنعوی']","['4.00', '3.71', '3.76']",[],[],[],رازها، این بیان لطیف بازی‌های متنوع بودن و نمودن رمان روانشناسی اعماق است. کنوت هامسون، نویسنده بزرگ نروژی و برنده جایزه نوبل ادبی، در این داستان غم‌انگیز عاشقانه، لایه‌های پی‌درپی ضمیر خودآگاه قهرمانش ناگل را آشکار می‌کند و از خواننده دعوت به عمل می‌آورد که خود به تفسیر و تعبیر اعماق و افکار او بپردازد. میل به امر تخیلی، حس‌پرستی، و نیز نومیدی عمیق هامسون در قبال اقدام مثله‌گر جامع شهری، از طریق ناگل بیان می‌شود. رازها از دنیاهایی پنهان، از پوچی‌ئی که در برابر فکر منطقی نفوذناپذیر می‌ماند، از زندگی عصبی و به شدت احساسی که توجیه‌های عقلی کمتر جایی در آن دارند با ما سخن می‌گوید
39780251,18317,اسرار,,9789645881113,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523168960l/39780251._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523168960l/39780251._SY75_.jpg,2006,,,per,مروارید,false,32747,95,13384,21992,5375,362,5:2188|4:1916|3:919|2:279|1:73|total:5375,1892,,,4.09,0,0,['18317'],['Knut Hamsun'],['4.00'],['3071583'],['سعید سعیدپور'],['3.57'],رمان اسرار را بارها خوانده‌ام و هر بار بیشتر مسحور می‌شوم. داستان‌های او از حد زمان فراتر رفته و شور و حالی موسیقایی می‌یابند. او را باید به حق اشراف‌زاده‌ی روح نامید؛
30626118,18317,اسرار,9645881110,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465992280l/30626118._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465992280l/30626118._SX50_.jpg,,,,per,,false,32747,95,13384,21992,5375,362,5:2188|4:1916|3:919|2:279|1:73|total:5375,1892,,,4.09,3,0,['18317'],['Knut Hamsun'],['4.00'],['3071583'],['سعید سعیدپور'],['3.57'],"In a Norwegian coastal town, society's carefully woven threads begin to unravel when an unsettling stranger named Johan Nagel arrives. With an often brutal insight into human nature, Nagel draws out the townsfolk, exposing their darkest instincts &amp; suppressed desires. At once arrogant &amp; unassuming, righteous &amp; depraved, Nagel seduces the entire community even as he turns it on its head--before disappearing as suddenly as he arrived."
6693299,18317,ویکتوریا,964770304x,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,,,per,نشر گل‌آذین,false,314364,105,9187,19545,5219,324,5:1259|4:1965|3:1490|2:415|1:90|total:5219,1898,,,3.74,28,6,"['18317', '3014628']","['Knut Hamsun', 'قاسم صعنوی']","['4.00', '3.21']",[],[],[],رمان عاشقانه ویکتوریا با آنکه ماجرایش در عصر جدید روی می‌دهد، تاثیری از شعر شوالیه‌گری می‌بخشد. شخصیت‌های اصلی اثر دو تن (ویکتوریا و یوهانس) هستند. یوهانس، شاعر و در حقیقت یکی از نسخه بدل‌های شخص هانسون است. خنیاگری است که بانوی خود ویکتوریا، دختر صاحب قصر را می‌ستاید. تضاد اجتماعی که بین پسر صاحب قصر و دختر ارباب وجود دارد از اجزاء سنت رمانتیک به شمار می‌رود. ولی هامسون به موضوع کاملا رفعت می بخشد و از سودا، تصویری فراموش‌نشدنی می‌سازد
1388831,18317,ويكتوريا,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,,,per,نشر گل آذين,false,314364,105,9187,19545,5219,324,5:1259|4:1965|3:1490|2:415|1:90|total:5219,1898,,,3.74,9,2,"['18317', '363353', '13845657']","['Knut Hamsun', 'کنوت هامسون', 'قاسم صنعوی']","['4.00', '3.71', '3.76']",[],[],[],
38047083,18317,ويكتوريا,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516171902l/38047083._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516171902l/38047083._SY75_.jpg,1364,,,per,نشر نيما,false,314364,105,9187,19545,5219,324,5:1259|4:1965|3:1490|2:415|1:90|total:5219,1898,,,3.74,1,1,['18317'],['Knut Hamsun'],['4.00'],['13488143'],['قاسم صنعوى'],['4.00'],"Generally recognized as one of Knut Hamsun's greatest works, Victoria was originally published in 1898. The novel is a seemingly simple, touching idyll of young love. But its simplicity is deceptive, for the story is imbued with a passionate lyricism and that brooding melancholy that pervades much of Hamsun's writing. The star-crossed young lovers are Johannes, the miller's son, and Victoria, the daughter of the lord of the manor. Their moment of ecstasy is as brief and transitory as their desire, and they prove perversely cruel to each other.<br /><br />Born in 1859 in Norway, Knut Hamsun was awarded the Nobel Prize for Literature in 1920."
