id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1618697,14167341,آقایی از سان‌فرانسیسکو و چند داستانِ دیگر,9643127648,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,,,per,نشر نی,false,3759137,31,3295,6835,1703,19,5:690|4:527|3:336|2:119|1:31|total:1703,1922,1,1,4.01,4,0,['14167341'],['Ivan Alekseyevich Bunin'],['4.05'],"['2991695', '8341118']","['بابک شهاب', 'حميدرضا آتش برآب']","['3.22', '3.79']",بونین استادی‌تمام‌عیار است –استادِ بزرگِ نثر ِ روس. استادی‌که تسلطی بی‌چون‌وچرا، قدرت‌مند و ماهرانه برتمام ِ امکاناتِ زبان دارد. او نسبت‌به دوره‌ی طولانی ِ فعالیتِ ادبی‌اش –که بیش‌از شصت‌سال بود، کم اما مستمر نوشت و این‌عطش و پشتکار، او را به‌سوی چنان‌زبانِ پاک و قدرت‌مندی هدایت کرد که تمامی ِ معاصران‌اش به‌او غبطه بخورند.<br />بونین نویسنده‌ی بی‌رحمی است –مانندِ جرّاحی‌بسیارجدّی. او دقیق و دل‌گیر و گویاست و در این‌بین از هرگونه هم‌دردی پرهیز می‌کند. آن‌شکل از انسان‌گرایی که مُهر ِ بسیارمهمّ نویسنده‌گانِ روسی –به‌ویژه چخوف– است، در او وجود ندارد. آن‌راهی‌که گورکی، این‌نابغه‌ی بزرگ با آن‌استعدادِ بی‌نظیرش آرام‌آرام طی کرد، بونین در همان‌اوایل پیمود.<br />پائوستُفسکی می‌گوید: «خشونتِ بونین ازین‌روست که حقیقتِ هنری را مافوق ِ همه‌چیز می‌دانست» و این شاید جامع‌ترین و خلاصه‌ترین سخنی است‌که می‌توان درباره‌ی او گفت.
31316268,14167341,یک شب پاییزی: (بهترین داستانهای کوتاه از نویسندگان بزرگ روس),6006687828,9786006687827,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470116223l/31316268._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470116223l/31316268._SX50_.jpg,2014,6,8,per,کتاب کوله پشتی,false,63791006,45,1942,2970,740,76,5:233|4:324|3:149|2:28|1:6|total:740,1917,,,4.01,4,0,"['539677', '16070', '3137322', '13872354', '3290636', '3072763', '24953', '734193', '24951', '232932', '410680', '94099', '128382', '17359366', '4919787', '6898030', '5031025']","['Thomas Seltzer', 'Alexander Pushkin', 'Fyodor Dostoyevsky', 'Ignaty Nikolayevich Potapenko', 'Sergey Semyonov', 'Maxim Gorky', 'Leonid Andreyev', 'Mikhail Petrovich Artsybashev', 'Aleksandr Kuprin', 'Nikolai Gogol', 'Ivan Turgenev', 'Fyodor Sologub', 'Leo Tolstoy', 'Mikhail Saltykov-Shchedrin', 'Vladimir Korolenko', 'Vsevolod N. Garshin', 'Anton Chekhov']","['3.94', '4.08', '4.18', '3.93', '3.98', '3.88', '4.04', '3.89', '4.07', '4.04', '3.92', '3.99', '4.06', '3.99', '3.98', '4.06', '3.96']",['15561560'],['ساناز جهان\u200cبیگلری'],['3.25'],"معرفی کوتاه:کتاب حاضر، دربردارندة مجموعة داستان‌های کوتاه از نویسندگان بزرگ روس از جمله: «آنتوان چخوف»، «ماکسیم گورکی»، «آلکساندر ایوانوویچ کوپرین»، «نیکلای واسیلویچ گوگول» و ... است. عنوان داستان‌ها عبارتند از: «شنل»، «درخت کریسمس و عروسی»، «مخلوق»، «معشوقه‌اش»، «یک شب پاییزی»، «انقلابی»، «بی‌حرمتی» و ... . در داستان «یک شب پاییزی»، راوی مرد جوانی است که وقتی درفصل پاییز با جیب خالی در روسیه، وارد یک شهر غریبه می‌شود، درگیر سرمای شدید و گرسنگی و بی‌کسی می‌شود . «ناتاشا» دختر آواره‌ای در آن شب، جوان را از گرسنگی و سرما نجات می‌دهد و محبّتی به وی ارائه می‌دهد که تمام کدورت‌ها و غم‌ها را فراموش کرده وخاطرة محبّت بدون چشم داشت ناتاشا تا ابد به یاد جوان می‌ماند.<br />Introduction<br />The Queen of Spades By Alexsandr S. Pushkin<br />The Cloak By Nikolay V. Gogol<br />The District Doctor By Ivan S. Turgenev<br />The Christmas Tree and the Wedding By Fiodor M. Dostoyevsky <br />God Sees the Truth, but Waits By Leo N. Tolstoy<br />How a Muzhik Fed Two Officials By M.Y. Saltykov <br />The Shades, a Phantasy By Vladimir G. Korlenko<br />The Signal By Vsevolod M. Garshin<br />The Darling By Anton P. Chekov<br />The Bet By Anton P. Chekhov<br />Vanka By Anton P. Chekhov<br />Hide and Seek By Fiodor Sologub<br />Dethroned By I.N. Potapenko<br />The Servant By S.T. Semyonov<br />One Autumn Night By Maxim Gorky<br />Her Lover By Maxim Gorky<br />Lazarus By Leonid Andreyev<br />The Revolutionist By Michail P. Artzybashev<br />The Outrage--A True Story By Aleksandr I. Kuprin"
24801966,14167341,شعر روس,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476559819l/24801966._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476559819l/24801966._SX50_.jpg,2007,,,per,ثالث,false,44439644,2,14,12,3,1,5:2|4:0|3:0|2:1|1:0|total:3,2007,1,1,4.00,1,1,"['4387193', '4741588', '16070', '4894525', '15973318', '1304160', '15538', '1518552', '7537427', '141429', '4357742', '8523129', '94099', '2823365', '295231', '13997171', '13530790', '99703', '61636', '93579', '4452588', '3094556', '14167341', '593554', '4016945', '1058714', '3012761', '6429964', '887400', '5786093', '487402', '7902', '5152', '15973321', '15973322', '15973323', '15973324', '6997775', '2066046', '713855', '174595', '11563', '24320']","['Gavrila Derzhavin', 'Vasily Zhukovsky', 'Alexander Pushkin', 'Yevgeny Baratynsky', 'Nikolay Yazykov', 'Fyodor Tyutchev', 'Mikhail Lermontov', 'Afanasy Fet', ""Vladimir Rudol'fovich Solovyov"", 'Valery Bryusov', 'Zinaida Gippius', 'Konstantin Balmont', 'Fyodor Sologub', 'Innokenty Annensky', 'Alexander Blok', 'Andrei Bely', 'Nikolay Gumilev', 'Anna Akhmatova', 'Osip Mandelstam', 'Velimir Khlebnikov', 'Vladimir Mayakovsky', 'Igor Severyanin', 'Ivan Alekseyevich Bunin', 'Mikhail Kuzmin', 'Maximilian Voloshin', 'Vladislav Khodasevich', 'Sasha Chernyi', 'Nikolai Klyuev', 'Sergei Yesenin', 'Marina Tsvetaeva', 'Nikolay Alekseyevich Zabolotsky', 'Boris Pasternak', 'Vladimir Nabokov', 'Ksenia Nekrasova', 'Nikolai Rylenkov', 'Aleksandr Tvardovsky', 'Nikolay Rubtsov', 'Leonid Martynov', 'Vladimir Vysotsky', 'Bella Akhmadulina', 'Arseny Tarkovsky', 'Joseph Brodsky', 'Yevgeny Yevtushenko']","['3.24', '3.97', '4.08', '3.79', '4.00', '4.25', '4.12', '4.01', '3.61', '3.87', '3.94', '4.21', '3.99', '4.16', '4.18', '3.97', '4.50', '4.31', '4.12', '4.39', '4.12', '4.54', '4.05', '3.80', '4.42', '4.32', '4.42', '4.00', '4.32', '4.28', '3.70', '4.03', '3.89', '4.00', '4.00', '4.00', '4.00', '3.75', '4.29', '4.27', '4.27', '4.25', '3.92']",['2991695'],['بابک شهاب'],['3.22'],
32613531,14167341,نغمه‌های اسكندريه: شعر روس,,9789643803179,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476536347l/32613531._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476536347l/32613531._SX50_.jpg,2014,,,per,ثالث,false,44439644,2,14,12,3,1,5:2|4:0|3:0|2:1|1:0|total:3,2007,1,1,4.00,2,0,"['4387193', '4741588', '16070', '4894525', '15973318', '1304160', '15538', '1518552', '7537427', '141429', '4357742', '8523129', '94099', '2823365', '295231', '13997171', '13530790', '99703', '61636', '93579', '4452588', '3094556', '14167341', '593554', '4016945', '1058714', '3012761', '6429964', '887400', '5786093', '487402', '7902', '5152', '15973321', '15973322', '15973323', '15973324', '6997775', '2066046', '713855', '174595', '11563', '24320']","['Gavrila Derzhavin', 'Vasily Zhukovsky', 'Alexander Pushkin', 'Yevgeny Baratynsky', 'Nikolay Yazykov', 'Fyodor Tyutchev', 'Mikhail Lermontov', 'Afanasy Fet', ""Vladimir Rudol'fovich Solovyov"", 'Valery Bryusov', 'Zinaida Gippius', 'Konstantin Balmont', 'Fyodor Sologub', 'Innokenty Annensky', 'Alexander Blok', 'Andrei Bely', 'Nikolay Gumilev', 'Anna Akhmatova', 'Osip Mandelstam', 'Velimir Khlebnikov', 'Vladimir Mayakovsky', 'Igor Severyanin', 'Ivan Alekseyevich Bunin', 'Mikhail Kuzmin', 'Maximilian Voloshin', 'Vladislav Khodasevich', 'Sasha Chernyi', 'Nikolai Klyuev', 'Sergei Yesenin', 'Marina Tsvetaeva', 'Nikolay Alekseyevich Zabolotsky', 'Boris Pasternak', 'Vladimir Nabokov', 'Ksenia Nekrasova', 'Nikolai Rylenkov', 'Aleksandr Tvardovsky', 'Nikolay Rubtsov', 'Leonid Martynov', 'Vladimir Vysotsky', 'Bella Akhmadulina', 'Arseny Tarkovsky', 'Joseph Brodsky', 'Yevgeny Yevtushenko']","['3.24', '3.97', '4.08', '3.79', '4.00', '4.25', '4.12', '4.01', '3.61', '3.87', '3.94', '4.21', '3.99', '4.16', '4.18', '3.97', '4.50', '4.31', '4.12', '4.39', '4.12', '4.54', '4.05', '3.80', '4.42', '4.32', '4.42', '4.00', '4.32', '4.28', '3.70', '4.03', '3.89', '4.00', '4.00', '4.00', '4.00', '3.75', '4.29', '4.27', '4.27', '4.25', '3.92']",['2991695'],['بابک شهاب'],['3.22'],
