id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
4004591,7419,دکتر فاستوس,,9789644459566,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387269040l/4004591._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387269040l/4004591._SX50_.jpg,2008,,,per,علمی و فرهنگی,false,756664,923,93157,203688,53617,1554,5:14582|4:19475|3:14667|2:3984|1:909|total:53617,1589,,,3.80,71,13,['11155'],['Christopher Marlowe'],['3.79'],['706539'],['لطفعلی صورتگر'],['3.39'],این نمایشنامه از سرگذشت دردناک دانشمندی به نام «دکتر فاستوس» سخن می‌گوید. فاستوس در حکمت و الهیات و منطق، یگانه عصر خویش است، ولی از این برتری خشنود نیست؛ سر در پی سحر و جادوگری می‌گذارد و پشت پا به اعتقادات مذهبی پدران خود می‌زند و روح خود را به بهای بیست و چهار سال زندگی بی‌دغدغه و قدرت بی‌اندازه به شیطان می‌فروشد. فاستوس در این فرصت به کارهای شگرفی دست می‌زند که از توانایی آدمی بیرون است، ولی سرانجام زمان مقرر فرا می‌رسد و وجدان او دستخوش پشیمانی می‌شود. <br /><br />این نمایشنامه شهوت مفرط آدمی را به تحصیل دانش و پایان کار کسانی که وجدان و عواطف و ایمان خویش را در آستانه علم قربانی می‌کنند، نشان می‌دهد و از پیروزی آزمندانی سخن می‌گوید که برای رسیدن به آرزوی خود از همه چیز می‌گذرند؛ ولی همین پیروزی، خود موجب سرنگونی آن‌ها می‌شود و دیری نمی‌گذرد که به روزگار سیاه می‌نشیند و به مرگی شوم و نکبت بار می‌میرد. <br /><br />نمایشنامه هنرمندانه مارلو همیشه پسند خاطر جهانیان بوده است، خاصه امروز که دامنه دانش وسعتی دهشتناک یافته و زندگی بشر را مورد تهدید قرار داده است.
43439521,7419,دکتر فاستوس,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546414409l/43439521._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546414409l/43439521._SY75_.jpg,1395,,,per,انتشارات علمی و فرهنگی,false,756664,923,93157,203688,53617,1554,5:14582|4:19475|3:14667|2:3984|1:909|total:53617,1589,,,3.80,10,2,"['11155', '706539']","['Christopher Marlowe', 'لطفعلی صورتگر']","['3.79', '3.39']",[],[],[],"The Tragical History of the Life and Death of Doctor Faustus, commonly referred to simply as Doctor Faustus, is an Elizabethan tragedy by Christopher Marlowe, based on German stories about the title character Faust, that was first performed sometime between 1588 and Marlowe's death in 1593. Two different versions of the play were published in the Jacobean era, several years later. The powerful effect of early productions of the play is indicated by the legends that quickly accrued around them—that actual devils once appeared on the stage during a performance, ""to the great amazement of both the actors and spectators"", a sight that was said to have driven some spectators mad."
2239732,7419,دكتر فاستوس,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506875799l/2239732._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506875799l/2239732._SY75_.jpg,2015,,,per,علمی و فرهنگی,false,756664,923,93157,203688,53617,1554,5:14582|4:19475|3:14667|2:3984|1:909|total:53617,1589,,,3.80,12,1,['11155'],['Christopher Marlowe'],['3.79'],['706539'],['لطفعلی صورتگر'],['3.39'],فاوست شخصیت اصلی یک افسانه ی آلمانی است. انسانی موفق با تحصیلات دانشگاهی ولی ناراضی از زندگی که روحش را با دانش نامحدود و لذت دنیایی در معامله‌ای با شیطان معاوضه می‌کند. این افسانه منشأ بسیاری از آثار ادبی، داستانی، سینمایی و موسیقیایی شده‌است<br /><br />فاوست خسته و ناامید است. تصمیم می‌گیرد تا با شیطان جهت کسب دانش بیشتر و قدرت جادو وارد گفتگو شود. او می‌خواهد تا از تمام دانش و لذت این دنیا بهره‌مند شود. در مقابل، نماینده ی شیطان، مفیستوفل ظاهر می‌شود. او این معامله را با فاوست انجام می‌دهد: مفیستوفل به قدرت جادویی او برای مدت 24 سال کمک می‌کند، ولی در پایان دوره، روح فاوست به شیطان تعلق دارد و فاوست به شکل ابدی ملعون خواهد بود
1513010,7419,دکتر فاستوس,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506873681l/1513010._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506873681l/1513010._SY75_.jpg,1961,,,per,بنگاه ترجمه و نشر کتاب,false,756664,923,93157,203688,53617,1554,5:14582|4:19475|3:14667|2:3984|1:909|total:53617,1589,,,3.80,9,0,['11155'],['Christopher Marlowe'],['3.79'],['706539'],['لطفعلی صورتگر'],['3.39'],این نمایشنامه از سرگذشت دردناک دانشمندی به نام دکتر فاستوس سخن می‌گوید: فاستوس در حکمت و الهیات و منطق یگانه عصر خویش است، ولی از این برتری خشنود نیست؛ سر در پی سحر و جادوگری می‌گذارد و پشت پا به اعتقادات مذهبی پدران خود می‌زند و روح خود را به بهای بیست‌و‌چهار سال زندگی بی‌دغدغه و قدرت بی‌اندازه به شیطان می‌فروشد<br /><br />فاستوس در این فرصت به کارهای شگرفی دست می‌زند که از توانایی آدمی بیرون است، ولی سرانجام زمان مقرر فرا می‌رسد و وجدان او دستخوش پشیمانی می‌شود<br /><br />. این نمایشنامه شهوت مفرط آدمی را به تحصیل دانش و پایان کار کسانی که وجدان و عواطف و ایمان خویش را در آستانه علم قربانی می‌کنند، نشان می‌دهد و از پیروزی آزمندانی سخن می‌گوید که برای رسیدن به آرزوی خود از همه چیز می‌گذرند؛ ولی همین پیروزی، خود موجب سرنگونی آن‌ها می‌شود و دیری نمی‌گذرد که به روزگار سیاه می‌نشیند و به مرگی شوم و نکبت‌بار می‌میرد
16865429,7419,Dr. Faustus,1281567248,9781281567246,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,1,1,,Icon Group,true,756664,923,93157,203688,53617,1554,5:14582|4:19475|3:14667|2:3984|1:909|total:53617,1589,,,3.80,0,0,['11155'],['Christopher Marlowe'],['3.79'],[],[],[],"If you are either learning Persian (Farsi), or learning English as a second language (ESL) as a Persian (Farsi) speaker, this book is for you. There are many editions of Dr. Faustus. This one is worth the price if you would like to enrich your Persian (Farsi)-English vocabulary, whether for self-improvement or for preparation in advanced of college examinations. Each page is annotated with a mini-thesaurus of uncommon words highlighted in the text. Not only will you experience a great classic, but learn the richness of the English language with Persian (Farsi) synonyms at the bottom of each page. You will not see a full translation of the English text, but rather a running bilingual thesaurus to maximize the reader's exposure to the subtleties of both languages."
41960885,7419,آواز قو و چند تک پرده‌ای دیگر,,9786005652093,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1537557779l/41960885._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1537557779l/41960885._SX50_.jpg,2017,,,per,جوانه توس,false,323946,86,551,832,253,21,5:26|4:78|3:101|2:39|1:9|total:253,1887,,,3.29,4,0,['5031025'],['Anton Chekhov'],['3.96'],['6442131'],['ناهید کاشی\u200cچی'],['3.83'],"One-act-play with only two characters: Vasili Svietlovidoff, a 68 year old comic actor and Nikita Ivanich, an even older man, the theater's prompter."
16865415,7419,Swan Song,128156706X,9781281567062,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,1,1,,Icon Group,true,323946,86,551,832,253,21,5:26|4:78|3:101|2:39|1:9|total:253,1887,,,3.29,0,0,['5031025'],['Anton Chekhov'],['3.96'],[],[],[],"If you are either learning Persian (Farsi), or learning English as a second language (ESL) as a Persian (Farsi) speaker, this book is for you. There are many editions of Swan Song. This one is worth the price if you would like to enrich your Persian (Farsi)-English vocabulary, whether for self-improvement or for preparation in advanced of college examinations. Each page is annotated with a mini-thesaurus of uncommon words highlighted in the text. Not only will you experience a great classic, but learn the richness of the English language with Persian (Farsi) synonyms at the bottom of each page. You will not see a full translation of the English text, but rather a running bilingual thesaurus to maximize the reader's exposure to the subtleties of both languages."
