author_id,book_id
3119996,19105375
3119996,1240546
3119996,7287122
3119996,18588639
3119996,23002808
3119996,9895102
3119996,25039192
3119996,17314507
3119996,43544166
3119996,20434896
3119996,11295384
3119996,7287120
3119996,10237671
3119996,12088759
3119996,12198172
3119996,9895105
3119996,24346099
3119996,28364383
3119996,51038308
3119996,35829702
3119996,28346718
3119996,25039191
3119996,3208234
3119996,32248976
3119996,17420537
3119996,31100112
3119996,26594325
3119996,22684250
3119996,26594331
3119996,35463183
3119996,44206024
3119996,22992960
3119996,22992961
3119996,32425025
3119996,32255745
3119996,33367832
3119996,22983687
3119996,22983688
3119996,12923261
3119996,35537143
3119996,35794986
3119996,9895104
3119996,38883740
3119996,25039189
3119996,25039188
3119996,9910676
3119996,37066165
3119996,25039187
3119996,25039186
3119996,25039185
3119996,25039184
3119996,25039182
3119996,37002633
268329,4148167
268329,813217
268329,479937
268329,813216
268329,3952447
268329,1447223
268329,1447184
268329,18905184
268329,19061086
268329,1013115
268329,813221
268329,26047423
268329,1447237
268329,26047424
268329,9753537
268329,36685530
268329,20695665
268329,18536420
268329,10301231
268329,8087206
268329,9048418
268329,7447757
268329,10301229
268329,30059242
268329,19826731
268329,29257835
268329,18297710
268329,52585232
268329,43312559
268329,29763246
268329,36685540
268329,9780362
268329,9780359
268329,43433123
268329,18903473
268329,33670275
268329,813219
268329,10231032
268329,10231034
268329,11922778
268329,10231038
268329,43866686
268329,27985677
268329,19316215
268329,40003260
268329,40447195
268329,36878565
268329,40003261
268329,10231031
268329,18297720
268329,45331130
268329,27480883
268329,37021202
268329,43669481
268329,16206307
268329,27480885
268329,26685099
268329,27480886
268329,39359553
268329,39530305
268329,51236855
268329,27513695
268329,41524818
268329,44463997
268329,44183329
268329,33999556
268329,37273585
268329,33999558
268329,44372206
268329,25137274
268329,33999562
268329,30421318
268329,39409363
268329,37010135
268329,33999563
268329,26592951
268329,45401076
268329,52822301
268329,33999564
268329,52575141
268329,36806572
268329,35173647
268329,9774540
268329,29738079
268329,38833238
268329,29738080
268329,27763371
268329,45516078
268329,49453147
268329,26735777
268329,41842807
268329,17421342
268329,34359599
268329,37012643
268329,45295598
268329,35548754
268329,18057304
268329,40325161
268329,50211922
268329,50002362
268329,50211932
268329,39386512
268329,53293890
268329,41170208
268329,29281350
268329,43290863
268329,11081264
268329,33920231
268329,50002398
268329,18057319
268329,17419596
268329,36936934
268329,43278593
268329,50187383
268329,1447235
268329,51835307
268329,7187122
268329,15606503
268329,15606505
268329,52692518
268329,34004642
268329,32385066
268329,39991706
268329,44115688
268329,50576562
268329,28047800
268329,15606520
268329,39517341
268329,31873343
268329,44475693
268329,39365039
268329,35536301
268329,3542601
268329,41526910
268329,45546151
268329,41911310
268329,51027203
268329,35539470
268329,44464072
268329,53466524
268329,3854676
268329,2264827
268329,42723092
268329,44467137
268329,23954606
268329,39760597
268329,29281352
268329,40002275
268329,37227051
268329,31405248
268329,50187510
268329,45529555
268329,44347354
268329,39013208
268329,36365410
268329,35463218
268329,50591831
268329,42216636
268329,38827803
268329,30616104
268329,29378119
268329,40581489
268329,41236990
268329,34365431
268329,40581492
268329,37895984
268329,37411690
268329,41256110
268329,50319273
268329,34026190
268329,41467327
268329,40179152
268329,37524350
268329,35963921
268329,34359438
268329,37898188
268329,7863031
268329,35859386
268329,32256823
268329,33608188
268329,30767289
