id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
30255401,7728,Dieci autori raccontano,8807421372,9788807421372,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463981182l/30255401._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463981182l/30255401._SX50_.jpg,2014,,,ita,Feltrinelli,false,50726308,1,33,33,13,4,5:0|4:0|3:8|2:4|1:1|total:13,,,,2.54,13,4,"['908', '7728', '24707', '701463', '15496', '2238', '19916', '15274391', '25319', '8407795']","['Alessandro Baricco', 'Doris Lessing', 'Stefano Benni', 'Maurizio Maggiani', 'Amos Oz', 'Isabel Allende', 'Jonathan Coe', 'Marine Gordimer', 'Erri De Luca', 'Giuseppe Tomasi di Lampedusa']","['3.89', '3.65', '3.74', '3.47', '3.86', '3.97', '3.79', '2.54', '3.61', '4.00']",[],[],[],Allegato a Trivial pursuit letterario
38189412,7728,Shikasta: CANOPUS DANS ARGOS : ARCHIVES (LITTERATURE),,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,59853473,1,74,31,8,0,5:4|4:1|3:2|2:0|1:1|total:8,,,,3.88,8,0,['7728'],['Doris Lessing'],['3.65'],['17642386'],['Paule Guivarc’h'],['3.88'],
29143678,7728,Den gyldne notatbok 1,,9788252551129,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1455622842l/29143678._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1455622842l/29143678._SY75_.jpg,2003,,,nor,Den norske bokklubbene,false,49392766,2,19,30,7,1,5:3|4:3|3:1|2:0|1:0|total:7,1962,,,4.29,7,1,['7728'],['Doris Lessing'],['3.65'],[],[],[],"Ledetråden i boka er ""Frie kvinner"". Hovedpersonen, Anna Wulf, er forlatt av sin elsker og følelsesmessig ute av balanse. For å skape orden i tanker og følelser skriver hun fire forskjellige dagbøker; en rød, en svart, en blå og en gul. De gjengir ulike deler av Annas virkelighet, personlig, politisk og kunstnerisk. Slik oppdager hun stadig nye sider ved seg selv, og ikke minst kaster erkjennelsen et ironisk lys over forsøket på å leve som ""fri kvinne"". Til sist forsøker Anna å samle trådene i ""den gyldne notatboka""."
7830979,7728,Retreat to Innocence,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1959,,,eng,prometheus edn.,false,10893626,3,38,29,9,1,5:3|4:2|3:0|2:2|1:2|total:9,1956,,,3.22,8,1,['7728'],['Doris Lessing'],['3.65'],[],[],[],
7133942,7728,Les enfants de la violence. Tome 1,2253031860,9782253031864,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369399026l/7133942._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369399026l/7133942._SY75_.jpg,2010,1,1,,Livre de Poche,false,25198131,3,43,28,6,1,5:4|4:2|3:0|2:0|1:0|total:6,1964,1,1,4.67,5,0,['7728'],['Doris Lessing'],['3.65'],['8775'],['Marianne Véron'],['3.47'],"Largement autobiographique, ce roman d'apprentissage où s'affrontent tous les thèmes d'une oeuvre ambitieuse et unique, couronnée par Le Carnet d'or, est le premier volume d'un cycle romanesque qui s'achèvera avec La Cité promise. C'est aussi une pièce maîtresse de l'oeuvre de Doris Lessing, prix Nobel de littérature. Les Enfants de la violence retrace l'histoire d'une femme en devenir, Martha, qui se cherche comme on cherche l'Afrique du Sud, un continent contre lequel viennent battre les rumeurs de la montée du nazisme, gouverné par une poignée de Blancs, héritiers des traditions britanniques, face au peuple noir. Adolescente partagée entre un vague désir de conformisme et un sentiment de révolte contre ce qui l'entoure, Martha est le témoin des conflits de l'histoire, et de ceux, plus intérieurs, qui précèdent l'entrée dans le monde adulte."
13323422,7728,Good housekeeping book of short stories,0099227924,9780099227922,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327107434l/13323422._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327107434l/13323422._SX50_.jpg,1997,,,eng,Arrow,false,18530092,1,125,27,7,0,5:3|4:2|3:1|2:0|1:1|total:7,1997,,,3.86,7,0,"['5413511', '9738', '51052', '2046', '7184', '51586', '16002', '197698', '4183', '57462', '457', '3532', '7728', '55708', '23612', '9987', '67820', '466161', '10890']","['Pat Roberts Cairns', 'Penelope Lively', 'Gillian Tindall', 'Alison Lurie', ""Edna O'Brien"", 'Angela Huth', 'William Trevor', 'Elizabeth Tallent', 'Rose Tremain', 'Eva Ibbotson', 'Anne Tyler', 'Maeve Binchy', 'Doris Lessing', 'Helen Simpson', 'Clare Boylan', 'Philippa Gregory', 'Joanna Trollope', 'Lesley Glaister', 'Ruth Rendell']","['3.86', '3.66', '3.73', '3.73', '3.52', '3.63', '3.81', '3.77', '3.83', '3.94', '3.65', '3.88', '3.65', '3.72', '3.53', '3.91', '3.57', '3.73', '3.70']",[],[],[],
4097669,7728,A Mild Attack of Locusts,0521211646,9780521211642,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1977,4,28,,Cambridge University Press,false,4144822,2,20,26,9,1,5:0|4:3|3:3|2:2|1:1|total:9,,,,2.89,9,1,"['146725', '7728']","['Alan McConnell-Duff', 'Doris Lessing']","['3.52', '3.65']",[],[],[],
2849036,7728,Wordsmiths: An Approach to Short Story Study,063601407X,9780636014077,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358708581l/2849036._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358708581l/2849036._SX50_.jpg,1991,,,eng,Maskew Miller Longman (Pty) Ltd,false,2875159,1,51,26,7,0,5:1|4:4|3:1|2:1|1:0|total:7,1991,,,3.71,7,0,"['804562', '2448', '11072', '57721', '16839', '880695', '5031025', '55397', '569389', '38631', '45712', '7728', '16667', '87094', '4273', '1214749', '4176632', '29538']","['J.O. Hendry', 'Arthur Conan Doyle', 'Daniel Keyes', 'W.W. Jacobs', 'James Thurber', 'H.G. Wells', 'Anton Chekhov', 'Nadine Gordimer', 'Can Themba', 'Gordon R. Dickson', 'Katherine Mansfield', 'Doris Lessing', 'Isaac Asimov', 'H.E. Bates', 'Roald Dahl', 'Ahmed Essop', 'W. Somerset Maugham', 'Herman Charles Bosman']","['3.78', '4.20', '4.13', '3.87', '3.95', '3.83', '3.96', '3.57', '4.19', '3.87', '3.78', '3.65', '4.16', '3.90', '4.13', '3.59', '4.04', '4.20']",[],[],[],
3363777,7728,Eldorado,3608950192,9783608950199,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369408827l/3363777._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369408827l/3363777._SY75_.jpg,1982,1,1,ger,Klett-Cotta,false,3403078,3,17,26,8,0,5:1|4:1|3:5|2:1|1:0|total:8,1982,1,1,3.25,7,0,['7728'],['Doris Lessing'],['3.65'],[],[],[],
1034830,7728,El dia en que murió Stalin; La mujer,8484504921,9788484504924,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369408436l/1034830._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369408436l/1034830._SY75_.jpg,,,,spa,,false,43028431,1,11,25,9,0,5:0|4:0|3:7|2:2|1:0|total:9,,,,2.78,9,0,['7728'],['Doris Lessing'],['3.65'],['89397'],['Marta Pessarrodona'],['3.58'],
667188,7728,Canopus in Argos / Archive 4 und 5. Zwei Romane.,3442728126,9783442728121,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450118061l/667188._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450118061l/667188._SY75_.jpg,2003,2,1,ger,Goldmann,false,15139688,1,17,23,5,1,5:3|4:2|3:0|2:0|1:0|total:5,,,,4.60,5,1,['7728'],['Doris Lessing'],['3.65'],[],[],[],
23635745,7728,Fler nobeller - Noveller av Nobelpristagare,,9789172216433,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417348448l/23635745._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417348448l/23635745._SX50_.jpg,2012,,,swe,En bok för alla,false,43240672,1,23,23,8,2,5:0|4:0|3:7|2:1|1:0|total:8,2012,1,1,2.88,8,2,"['9939238', '9939239', '446692', '134980', '1197', '3989', '9939240', '36635', '1113469', '8550', '3534', '7728', '4391', '1709', '1545124', '22515', '978', '65633', '957894', '18317', '3439713', '6669']","['Gun Ekroth', 'Lars Rydquist', 'Tomas Tranströmer', 'Herta Müller', 'Harold Pinter', 'V.S. Naipaul', 'Imre Kertésy', 'Juan Ramón Jiménez', 'Hermann Hesse', 'Yasunari Kawabata', 'Toni Morrison', 'Doris Lessing', 'Saul Bellow', 'Grazia Deledda', 'Johannes V. Jensen', 'Mario Vargas Llosa', 'Wole Soyinka', 'J.M.G. Le Clézio', 'Albert Camus', 'Knut Hamsun', 'Kenzaburō Ōe', 'Wisława Szymborska']","['3.15', '2.88', '4.08', '3.61', '3.79', '3.70', '2.88', '3.82', '4.05', '3.75', '3.91', '3.65', '3.76', '3.64', '3.74', '3.97', '3.81', '3.65', '4.00', '4.00', '3.78', '4.32']",[],[],[],"Nobelpristagare i kortform!<br />Nästan alla nobelpristagare i litteratur har skrivit noveller. En novell är som alla vet en kort skönlitterär text, men vad är en nobell? I en här samlingen finns även andra former av korta texter: utdrag ur romaner eller essäistiska och anekdotiska berättelser. En nobell är helt enkelt att utmärkt sätt att bekanta sig med nobelpristagarna när man inte hunnit läsa deras längre romaner!<br />Den första volymen med Nobeller kom på En bok för alla 2007. Den nya boken omfattar även den hela nobelprisets historia från 1901 till 2011 då Tomas Tranströmer fick priset.<br />Här finns utöver honom Hertha Müller, Harold Pinter, Imre Kertez, Toni Morrison, Doris Lessing, Vargas Llosa, J M G Le Clezio och många andra."
18890688,7728,"Tage am Strand: Nach der Erzählung ""Die Großmütter"" aus dem Band ""Ein Kind der Liebe"" (German Edition)",,9783455812589,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,26894716,1,12,23,6,0,5:1|4:4|3:0|2:1|1:0|total:6,2013,10,29,3.83,6,0,['7728'],['Doris Lessing'],['3.65'],[],[],[],
2661348,7728,Declaration,0804615381,9780804615389,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1972,12,31,,Kennikat Press,false,2686573,3,26,22,6,2,5:2|4:1|3:2|2:1|1:0|total:6,1957,,,3.67,3,1,"['1170318', '7728', '9016', '42092', '223027', '357618', '7060591', '183829', '76905']","['Tom Maschler', 'Doris Lessing', 'Colin Wilson', 'John Osborne', 'John Wain', 'Kenneth Tynan', 'Bill  Hopkins', 'Lindsay Anderson', 'Stuart Holroyd']","['3.11', '3.65', '3.94', '3.58', '3.89', '4.05', '3.95', '3.81', '3.33']",[],[],[],
