id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
45161413,306,Lord of the Flies: With Teachers Guide/Prepack 10 (Teachers Reference and Ten Books/Prepack of 11),9992262427,9789992262429,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,69856866,1,2,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['306'],['William Golding'],['3.68'],[],[],[],
15506638,306,"The Art of the Critic: The Enlightenment (The Art of the Critic, Volume 4)",0877544972,9780877544975,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1987,12,12,,Chelsea House Publications,false,21163092,1,11,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['306', '236']","['William Golding', 'Harold Bloom']","['3.68', '4.10']",[],[],[],
4735893,306,"The Art of the Critic: Literary Theory & Criticism from the Greeks to the Present, 10 Vols",087754493X,9780877544937,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1990,,,eng,,false,15976759,1,13,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,1990,1,1,0.00,0,0,"['306', '236']","['William Golding', 'Harold Bloom']","['3.68', '4.10']",[],[],[],
1838584,306,"The Art of the Critic: Classical & Medieval (The Art of Critic, Volume 1)",0877544948,9780877544944,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1985,6,1,eng,Chelsea House Publications,false,1838644,1,10,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['306', '236']","['William Golding', 'Harold Bloom']","['3.68', '4.10']",[],[],[],"Volume eight of an 11-volume series of literary criticism selected from works ranging from Classical Greece to the present day. As well as what are considered to be the most important critical texts of each era, the books contain brief biographies of the authors."
34409016,306,Oliver,3442066956,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488222960l/34409016._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488222960l/34409016._SY75_.jpg,1973,,,,Wilhelm Goldmann Verlag,false,55512338,1,6,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['306'],['William Golding'],['3.68'],[],[],[],
52418053,306,Chris Martin,2070228835,9782070228836,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,73059850,1,1,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['306'],['William Golding'],['3.68'],[],[],[],
856412,306,British Modernist Fiction 1920-1945 (Critical Cosmos),0877549877,9780877549871,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1986,11,1,,Chelsea House Publications,false,841893,1,10,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,1986,11,,0.00,0,0,"['236', '306']","['Harold Bloom', 'William Golding']","['4.10', '3.68']",[],[],[],
12627698,306,Lord of the Flies (KnowledgeNotes Student Guides),1124000038,9781124000039,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334015094l/12627698._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334015094l/12627698._SX50_.jpg,,,,,,true,19182011,1,3,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['4837917', '306']","['KnowledgeNotes', 'William Golding']","['3.85', '3.68']",[],[],[],
24721565,306,Discursos Premios Nobel: Tomo 3,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,44347379,1,11,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,2014,10,9,0.00,0,0,"['4548647', '7333', '978', '18540', '17854', '140617', '13359163', '585', '55397', '306']","['Gonzalo Márquez Cristo', 'Eugenio Montale', 'Wole Soyinka', 'T.S. Eliot', 'Bertrand Russell', 'Gabriela Mistral', 'Yorgos Seferis', 'John Steinbeck', 'Nadine Gordimer', 'William Golding']","['3.76', '4.07', '3.81', '4.16', '4.02', '4.00', '4.38', '3.93', '3.57', '3.68']",[],[],[],
25201634,306,Winter's Tales 16,0333111990,9780333111994,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1970,,,eng,Macmillan,false,44913817,1,7,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,1970,,,0.00,0,0,"['2413889', '13693426', '60750', '306', '1170587', '165857', '2783141', '87973', '36356', '140774', '51052']","['A.D. MacLean', 'Freda Bromhead', 'Margaret Drabble', 'William Golding', 'Sean Hignett', 'Rachel Ingalls', 'Patricia Ledward', 'John McIntosh', 'Glen Petrie', 'Jean Stubbs', 'Gillian Tindall']","['3.75', '0.0', '3.68', '3.68', '3.12', '3.82', '3.33', '4.27', '3.57', '3.91', '3.73']",[],[],[],"Sixteenth in the annual British short story anthology series.<br />- ""Means of Communication"" by Freda Bromhead<br />- ""The Gifts of War"" by Margaret Drabble<br />- ""The Anglo-Saxon"" by William Golding<br />- ""Allotment"" by Sean Hignett<br />- ""The Man Who Was Left Behind"" by Rachel Ingalls<br />- ""Get Out of My Way"" by Patricia Ledward<br />- ""How Boetie Came to Marry a Rich Lady"" by John McIntosh<br />- ""Sad About Miss Brent"" by Glen Petrie<br />- ""Cousin Lewis"" by Jean Stubbs<br />- ""Fiona"" by Gillian Tindall"
31318831,306,Lord of the Flies,1438114621,9781438114620,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,Chelsea House Publications,true,51992012,1,1,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['3858381', '75427', '306', '236']","['Elizabeth Beaudin', 'Pamela Loos', 'William Golding', 'Harold Bloom']","['2.50', '3.71', '3.68', '4.10']",[],[],[],"Bloom's Guides - successor to the acclaimed Bloom's Notes and Bloom's Reviews Comprehensive reading and study guides with a selection of critical excerpts providing a scholarly overview of each work Each book includes a biographical sketch of the author, a descriptive list of characters, an extensive summary and analysis, plus an annotated bibliography"
29388174,306,Lord of the Flies (Herr der Fliegen) von William Golding.: Textanalyse und Interpretation mit ausführlicher Inhaltsangabe und Abituraufgaben mit Lösungen (Königs Erläuterungen 332),,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,ger,,true,53627537,2,2,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['13392754', '306']","['Sabine Hasenbach', 'William Golding']","['3.79', '3.68']",[],[],[],
43303396,306,Imagine: A Book for Band Aid,0500973237,9780500973233,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,67199221,1,1,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['98740', '306']","['David Bailey', 'William Golding']","['3.90', '3.68']",[],[],[],
