id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
23150156,55397,İvan İlyiç'in Ölümü,,9789750515323,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409660260l/23150156._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409660260l/23150156._SX50_.jpg,2014,8,,tur,İletişim Yayınları,false,234915,629,162203,340515,83424,4752,5:31269|4:32405|3:15816|2:3168|1:766|total:83424,1886,,,4.08,33,1,"['128382', '55397', '2052767']","['Leo Tolstoy', 'Nadine Gordimer', 'Jerome Donnelly']","['4.06', '3.57', '4.42']",['4504441'],['Ergin Altay'],['4.25'],"İvan İlyiç’in Ölümü, bireyin hayatla ve ölümle hesaplaşmasının etkileyici bir anlatısı.<br /><br />İvan İlyiç’in Ölümü, son günlerinde, ölümle önce mücadele eden, daha sonra çaresizce kendisini ona bırakan bir adamın yaşadıklarını anlatır. Yüksek rütbeli bir yargıç olan İvan İlyiç, iyi bir hayat yaşadığını düşünür; ancak hasta yatağında ölümün yaklaştığını anladıkça, yavaş yavaş aslında ne kadar boş bir ömür sürmüş olduğunu fark eder. O güne kadar büyük anlam yüklediği ve uğruna büyük çaba verdiği serveti, şöhreti ve saygınlığı, ölüm döşeğinde bir anda gözüne boş ve saçma görünür. Tolstoy’un büyük bir samimiyetle anlattığı bu kısa ama etkileyici roman, insan doğası, hayatın anlamı ve ölümün gerçekliği gibi temel sorulara cevap arıyor.<br /><br />“Tolstoy muhteşem bir yazar. Hiçbir zaman anlayışsız değil, aptal değil, yorulmak nedir bilmiyor, bilgiçlik taslamıyor, teatralliğe düşmüyor. Diğerlerinden çok daha üstün.”<br />JAMES JOYCE"
1582288,55397,The Threepenny Opera,0143105167,9780143105169,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,12,18,eng,Penguin Classics,false,1056103,67,17183,39579,9999,200,5:3456|4:3535|3:2284|2:583|1:141|total:9999,1928,,,3.96,179,8,"['26853', '38449', '55397', '5089665']","['Bertolt Brecht', 'Ralph Manheim', 'Nadine Gordimer', 'Norman Roessler']","['3.78', '4.11', '3.57', '3.60']",['38450'],['John Willett'],['3.93'],"Brutal, scandalous, perverted, yet humorous, hummable, and with a happy ending- Bertolt Brecht's revolutionary masterpiece The Threepenny Opera is a landmark of modern drama that has become embedded in the Western cultural imagination. Through the love story of Polly Peachum and ""Mack the Knife"" Macheath, the play satirizes the bourgeois of the Weimar Republic, revealing a society at the height of decadence and on the verge of chaos. Complemented with music by Kurt Weill, it was one of the earliest and most successful attempts to introduce jazz into the theater, and the song ""Mack the Knife"" became one of the most popular and widely recorded songs of the twentieth century."
1508278,55397,The Radetzky March,0140188533,9780140188530,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568273401l/1508278._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568273401l/1508278._SY75_.jpg,,,,eng,Penguin,false,1624715,182,18565,28510,6983,647,5:2755|4:2548|3:1285|2:293|1:102|total:6983,1932,,,4.08,10,0,"['30681', '55397']","['Joseph Roth', 'Nadine Gordimer']","['3.89', '3.57']",['10749'],['Joachim Neugroschel'],['3.88'],"The Radetzky March charts the history of the Trotta family through three generations spanning the rise and fall of the Austro-Hungarian Empire. Through the Battle of Solferino to the entombment of the last Hapsburg emperor, Roth's intelligent compassion illuminates the crumbling of a way of life."
111050,55397,July's People,0140061401,9780140061406,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328616249l/111050._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328616249l/111050._SY75_.jpg,1982,7,29,eng,Penguin Books,false,1499866,56,15711,21746,6168,514,5:1090|4:2195|3:1965|2:703|1:215|total:6168,1981,,,3.53,5434,419,['55397'],['Nadine Gordimer'],['3.57'],[],[],[],"For years, it had been what is called a “deteriorating situation.” Now all over South Africa the cities are battlegrounds. The members of the Smales family—liberal whites—are rescued from the terror by their servant, July, who leads them to refuge in his village. What happens to the Smaleses and to July—the shifts in character and relationships—gives us an unforgettable look into the terrifying, tacit understandings and misunderstandings between blacks and whites.<br /><br /><b>Nadine Gordimer was a winner of the Nobel Prize in Literature</b>"
96334,55397,The Pickup,0142001422,9780142001424,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344357857l/96334._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344357857l/96334._SY75_.jpg,2002,9,24,eng,Penguin Books,false,2270236,45,5840,11241,3155,408,5:602|4:1162|3:935|2:322|1:134|total:3155,2001,,,3.56,2710,342,['55397'],['Nadine Gordimer'],['3.57'],[],[],[],"When Julie Summers's car breaks down on a sleazy street in a South African city, a young Arab mechanic named Abdu comes to her aid. Their attraction to one another is fueled by different motives. Julie is in rebellion against her wealthy background and her father; Abdu, an illegal immigrant, is desperate to avoid deportation to his impoverished country. In the course of their relationship, there are unpredictable consequences, and overwhelming emotions will overturn each one's notion of the other. Set in the new South Africa and in an Arab village in the desert, <i>The Pickup</i> is ""a masterpiece of creative empathy . . . a gripping tale of contemporary anguish and unexpected desire, and it also opens the Arab world to unusually nuanced perception"" (Edward W. Said).<br /><br />"
32592846,55397,Cum să lecuieşti un fanatic,6067790998,9786067790993,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476252601l/32592846._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476252601l/32592846._SY75_.jpg,2016,10,,rum,Humanitas Fiction,false,524017,37,4422,8587,2230,212,5:643|4:844|3:552|2:149|1:42|total:2230,2002,,,3.85,7,0,"['15496', '15964936', '55397']","['Amos Oz', 'Dana Ligia Ilin', 'Nadine Gordimer']","['3.86', '3.71', '3.57']",[],[],[],"<i>Cum să lecuieşti un fanatic</i> reuneşte o serie de excelente eseuri şi un interviu al lui Amos Oz pe teme care, prin stringenţa problemelor subsumate lor, ar trebui să figureze pe o „ordine de zi"" a gândirii fieşcăruia dintre noi: fanatismul religios, conflictele culturale, relaţia cu celalalt, ac-ceptarea diferenţei, nevoia de compromis inteligent. Lucid, ironic, perfect argumentat si informat, proaspăt şi profund, discursul lui Amos Oz deschide o nouă perspectivă, cea mai bună dintre cele posibile.<br /><br />„Cred că, atunci când asistaţi la o catastrofă – o explozie, să zicem –, există doar trei opţiuni principale. Prima: să o luaţi la goană cât vă ţin picioarele, iar cei care nu pot fugi n-au decât să ardă. A doua: să-i trimiteţi o scrisoare foarte indignată editorului ziarului dumnea-voastră, cerând ca vinovaţii să fie daţi afară din serviciu. Sau să organizaţi o manifestaţie. A treia: să aduceţi o găleată cu apă şi să o aruncaţi peste foc, şi dacă nu aveţi găleată să aduceţi un pahar, şi dacă nu aveţi pahar să aduceţi o linguriţă – tot omul are o linguriţă. Da, ştiu că o linguriţă e mică, iar focul e imens, dar suntem milioane de oameni, şi fiecare are o linguriţă. Ei bine, aş vrea să fondez Ordinul Linguriţei. Mi-ar plăcea ca aceia care îmi împărtăşesc atitudinea – nu fuga, nu scrisoarea, ci linguriţa – să poarte întotdeauna la rever o linguriţă, ca să ştim că suntem în aceeaşi mişcare, în aceeaşi frăţie, în acelaşi ordin, Ordinul Linguriţei. Aceasta este filozofia mea, într-un cuvânt – sau într-o linguriţă, cu voia dumneavoastră.“ (Amos OZ)"
96337,55397,The Conservationist,0140047166,9780140047165,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1983,2,24,eng,Penguin Books,false,1499841,44,9542,8221,2443,262,5:381|4:754|3:806|2:380|1:122|total:2443,1974,,,3.37,2092,185,['55397'],['Nadine Gordimer'],['3.57'],[],[],[],"Mehring is rich. He has all the privileges and possessions that South Africa has to offer, but his possessions refuse to remain objects. His wife, son, and mistress leave him; his foreman and workers become increasingly indifferent to his stewarsship; even the land rises up, as drought, then flood, destroy his farm."
35659483,55397,Echi di una autobiografia,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499863986l/35659483._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499863986l/35659483._SX50_.jpg,1999,11,1,ita,Tullio Pironti,false,6159074,18,4917,7323,1865,355,5:653|4:627|3:412|2:141|1:32|total:1865,1994,,,3.93,0,0,"['5835922', '55397', '5057254']","['Naguib Mahfouz', 'Nadine Gordimer', 'Annamaria Lamarra']","['3.93', '3.57', '2.50']",[],[],[],"""L'essenza di uno scrittore sta nella sua opera, non nella sua personalità, perché il contenuto della vita in ogni caso trascorre nell'opera"": parole di Nadine Gordimer, anche lei Premio Nobel per la Letteratura, che ha scritto la prefazione per questa quasi-autobiografia del Premio Nobel egiziano. Mahfuz si racconta attraverso altre storie e altre voci in questa singolare opera dove ha scelto forme antiche di scrittura - parabole, aforismi, allegorie - che sono forse le più adatte a tracciare un bilancio dell'evento esistenziale di un uomo nato nel lontano 11 dicembre 1912. Non ci sono né date né aneddoti (come in genere accade in questa forma di scrittura), ma i passi che compongono il testo ci dicono dell'uomo-autore più di quanto ci direbbe un normale racconto autobiografico. ""Questi brani - parole di Nadine Gordimer - sono meditazioni che echeggiano ciò che era, è stato ed è lo scrittore Mahfuz. Essi sono, per dirla con il titolo di uno dei suoi testi, il <i>Dialogo di un pomeriggio inoltrato</i>""."
526927,55397,Burger's Daughter,0140055932,9780140055931,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1980,11,20,eng,Penguin Books,false,888256,41,6000,6329,1787,175,5:371|4:602|3:517|2:218|1:79|total:1787,1979,,,3.54,1620,146,['55397'],['Nadine Gordimer'],['3.57'],[],[],[],"As a depiction of South Africa, this novel is more revealing than a thousand news dispatches as it tells the story of a young woman cast in the role of a young revolutionary, trying to uphold a heritage handed on by martyred parents while carving out a sense of one's self."
111049,55397,My Son's Story,074756275X,9780747562757,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,8,1,,Bloomsbury Publishing PLC,false,1499888,43,3234,5115,1416,103,5:242|4:555|3:475|2:116|1:28|total:1416,1990,,,3.61,1133,68,['55397'],['Nadine Gordimer'],['3.57'],[],[],[],From South Africa's most pre-eminent writer comes a tense and intimate family drama about how we come to love.
