id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
65707,6410,Emily of New Moon,0771099797,9780771099793,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320480642l/65707._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320480642l/65707._SY75_.jpg,1989,2,1,,New Canadian Library,false,1223124,504,73170,168827,41139,1721,5:17000|4:14055|3:7976|2:1571|1:537|total:41139,1923,,,4.10,54,6,"['5350', '6410']","['L.M. Montgomery', 'Alice Munro']","['4.21', '3.92']",[],[],[],"Lucy Maud Montgomery has been beloved by generations of readers for her <i>Anne of Green Gables</i> stories. In the celebrated Emily trilogy, of which <i>Emily of New Moon</i> is the first volume, Montgomery draws a more realistic portrait of a young girl’s life on Prince Edward Island. The twin threads of bright and dark, love and cruelty, hope and despair intertwine in a pattern as significant as it is enduring.<br /><br />Along with <i>Emily Climbs</i> and <i>Emily’s Quest</i>, <i>Emily of New Moon</i> insightfully portrays the beauty and anguish of growing up."
13530981,6410,Dear Life,0771064861,9780771064869,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333579320l/13530981._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333579320l/13530981._SX50_.jpg,2012,10,13,,Douglas Gibson Books,false,19092649,105,73229,111863,29835,3613,5:7560|4:11294|3:7735|2:2436|1:810|total:29835,2012,,,3.75,23057,2707,"['6410', '13466464', '14156773']","['Alice Munro', 'Raymond Verdaguer', 'Mónica Naranjo Uribe']","['3.92', '2.90', '4.48']",[],[],[],"Suffused with Munro's clarity of vision and her unparalleled gift for storytelling, these tales about departures and beginnings, accidents and dangers, and outgoings and homecomings both imagined and real, paint a radiant, indelible portrait of how strange, perilous, and extraordinary ordinary life can be.<br /><br />Alice Munro's peerless ability to give us the essence of a life in often brief but always spacious and timeless stories is once again everywhere apparent in this brilliant new collection. In story after story, she illumines the moment a life is forever altered by a chance encounter or an action not taken, or by a simple twist of fate that turns a person out of his or her accustomed path and into a new way of being or thinking. A poet, finding herself in alien territory at her first literary party, is rescued by a seasoned newspaper columnist, and is soon hurtling across the continent, young child in tow, toward a hoped-for but completely unplanned meeting. A young soldier, returning to his fiancée from the Second World War, steps off the train before his stop and onto the farm of another woman, beginning a life on the move. A wealthy young woman having an affair with the married lawyer hired by her father to handle his estate comes up with a surprising way to deal with the blackmailer who finds them out. <br /><br />While most of these stories take place in Munro's home territory - the small Canadian towns around Lake Huron - the characters sometimes venture to the cities, and the book ends with four pieces set in the area where she grew up, and in the time of her own childhood: stories ""autobiographical in feeling, though not, sometimes, entirely so in fact."" A girl who can't sleep imagines night after wakeful night that she kills her beloved younger sister. A mother snatches up her child and runs for dear life when a crazy woman comes into her yard. <br /><br />Suffused with Munro's clarity of vision and her unparalleled gift for storytelling, these tales about departures and beginnings, accidents and dangers, and outgoings and homecomings both imagined and real, paint a radiant, indelible portrait of how strange, perilous, and extraordinary ordinary life can be."
5021070,6410,Kisah-Kisah Cinta Ganjil,9799998611,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,9,,ind,Banana Publishing,false,3838,124,41287,87337,22588,1132,5:5877|4:9455|3:5867|2:1142|1:247|total:22588,1970,,,3.87,28,9,"['6343', '6410', '13450', '145348']","['Milan Kundera', 'Alice Munro', 'Gabriel García Márquez', 'Naoya Shiga']","['4.01', '3.92', '3.97', '3.92']",[],[],[],"Edward mendekati Alice dengan tujuan tunggal, menikmati tubuh ranum gadis itu. Tetapi inilah yang<br />justru ditanyakan Alice: “Percayakah kau pada Tuhan?” Celakanya, Tuhan yang abstrak di mata Alice menjadi sosok yang konkret, Tuhan yang melarang perzinahan. Siasat akal bulus Edward bekerja, dan kota kecil di Chekoslowakia pada masa rezim komunis jadi hebohm karenany"
14280,6410,Runaway,1400077915,9781400077915,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557155619l/14280._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557155619l/14280._SY75_.jpg,2005,11,,eng,Vintage Contemporaries,false,2040369,18,43693,78826,19805,2064,5:6433|4:8113|3:3964|2:1022|1:273|total:19805,2003,8,11,3.98,16150,1557,['6410'],['Alice Munro'],['3.92'],[],[],[],"The incomparable Alice Munro’s bestselling and rapturously acclaimed Runaway is a book of extraordinary stories about love and its infinite betrayals and surprises, from the title story about a young woman who, though she thinks she wants to, is incapable of leaving her husband, to three stories about a woman named Juliet and the emotions that complicate the luster of her intimate relationships. In Munro’s hands, the people she writes about–women of all ages and circumstances, and their friends, lovers, parents, and children–become as vivid as our own neighbors. It is her miraculous gift to make these stories as real and unforgettable as our own. <br />(back cover)<br /><br />Runaway<br /><br />Chance<br /><br />Soon<br /><br />Silence<br /><br />Passion<br /><br />Trespasses<br /><br />Tricks"
6464937,6410,Too Much Happiness,0307269760,9780307269768,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320459874l/6464937._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320459874l/6464937._SX50_.jpg,2009,11,17,eng,Knopf,false,6655407,100,38964,70233,18368,2214,5:4813|4:7566|3:4328|2:1259|1:402|total:18368,2009,,,3.82,14266,1714,['6410'],['Alice Munro'],['3.92'],[],[],[],"In these ten stories, Alice Munro once again renders complex, difficult events and emotions into stories that shed light on the unpredictable ways in which men and women accommodate and often transcend what happens in their lives.<br /><br />Ten superb new stories by one of our most beloved and admired writers—the winner of the 2009 Man Booker International Prize. <br /><br />In the first story a young wife and mother receives release from the unbearable pain of losing her three children from a most surprising source. In another, a young woman, in the aftermath of an unusual and humiliating seduction, reacts in a clever if less-than-admirable fashion. Other stories uncover the “deep-holes” in a marriage, the unsuspected cruelty of children, and how a boy’s disfigured face provides both the good things in his life and the bad. And in the long title story, we accompany Sophia Kovalevsky—a late-nineteenth-century Russian émigré and mathematician—on a winter journey that takes her from the Riviera, where she visits her lover, to Paris, Germany, and, Denmark, where she has a fateful meeting with a local doctor, and finally to Sweden, where she teaches at the only university in Europe willing to employ a female mathematician. <br /><br />With clarity and ease, Alice Munro once again renders complex, difficult events and emotions into stories that shed light on the unpredictable ways in which men and women accommodate and often transcend what happens in their lives."
111126,6410,"Hateship, Friendship, Courtship, Loveship, Marriage: Stories",0375727434,9780375727436,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494106094l/111126._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494106094l/111126._SY75_.jpg,2002,10,8,,Vintage,false,2457240,5,39241,64456,15911,1525,5:5841|4:6167|3:2970|2:740|1:193|total:15911,2001,9,25,4.05,12922,1156,['6410'],['Alice Munro'],['3.92'],[],[],[],"In the her tenth collection (the title story of which is the basis for the new film <i>Hateship Loveship</i>), Alice Munro achieves new heights, creating narratives that loop and swerve like memory, and conjuring up characters as thorny and contradictory as people we know ourselves.<br /><br />A tough-minded housekeeper jettisons the habits of a lifetime because of a teenager’s practical joke. A college student visiting her brassy, unconventional aunt stumbles on an astonishing secret and its meaning in her own life. An incorrigible philanderer responds with unexpected grace to his wife’s nursing-home romance. <br /><br /><i>Hateship, Friendship, Courtship, Loveship, Marriage</i> is Munro at her best, tirelessly observant, serenely free of illusion, deeply and gloriously humane."
14285,6410,Lives of Girls and Women,0375707492,9780375707490,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320391660l/14285._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320391660l/14285._SY75_.jpg,2001,2,13,eng,Vintage,false,1322861,74,29282,41841,10502,783,5:3562|4:4065|3:2187|2:522|1:166|total:10502,1971,,,3.98,8597,560,['6410'],['Alice Munro'],['3.92'],[],[],[],"The only novel from Alice Munro -- award-winning author of <i>The Love of a Good Woman</i> -- is an insightful, honest book, ""autobiographical in form but not in fact,"" that chronicles a young girl's growing up in rural Ontario in the 1940s.<br /><br />Del Jordan lives out at the end of the Flats Road on her father's fox farm, where her most frequent companions are an eccentric bachelor family friend and her rough younger brother. When she begins spending more time in town, she is surrounded by women -- her mother, an agnostic, opinionated woman who sells encyclopedias to local farmers; her mother's boarder, the lusty Fern Dogherty; and her best friend, Naomi, with whom she shares the frustrations and unbridled glee of adolescence.<br /><br />Through these unwitting mentors and in her own encounters with sex, birth, and death, Del explores the dark and bright sides of womanhood. All along she remains a wise, witty observer and recorder of truths in small-town life. The result is a powerful, moving, and humorous demonstration of Alice Munro's unparalleled awareness of the lives of girls and women."
111151,6410,The Love of a Good Woman,0099287862,9780099287865,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364181686l/111151._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364181686l/111151._SY75_.jpg,2000,3,2,,,false,848932,66,18134,28530,7087,641,5:2465|4:2858|3:1337|2:335|1:92|total:7087,1998,,,4.03,5263,419,['6410'],['Alice Munro'],['3.92'],[],[],[],"<b>**Winner of the Nobel Prize in Literature**</b><br /><br />Alice Munro has a genius for entering the lives of ordinary people and capturing the passions and contradictions that lie just below the surface. In this brilliant new collection she takes mainly the lives of women - unruly, ungovernable, unpredictable, unexpected, funny, sexy and completely recognisable - and brings their hidden desires bubbling to the surface. The love of a good woman is not as pure and virtuous as it seems: as in her title story it can be needy and murderous. Here are women behaving badly, leaving husbands and children, running off with unsuitable lovers, pushing everyday life to the limits, and if they don't behave badly, they think surprising and disturbing thoughts."
4140,6410,Children Playing Before a Statue of Hercules,0743276124,9780743276122,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,8,1,eng,Simon & Schuster,false,726,19,17873,28072,7619,557,5:1660|4:2823|3:2352|2:640|1:144|total:7619,2005,3,29,3.68,6561,467,"['2849', '27069', '24956', '3524', '11746', '22694', '18710', '92333', '476225', '7371', '2122', '45531', '3670', '45712', '6410', '170967', '472557', '7622', '6647']","['David Sedaris', 'Richard Yates', 'Dorothy Parker', 'Joyce Carol Oates', 'Lorrie Moore', ""Flannery O'Connor"", 'Amy Hempel', 'Akhil   Sharma', 'Tim Johnston', 'Tobias Wolff', 'Sarah Vowell', 'Charles Baxter', 'Jhumpa Lahiri', 'Katherine Mansfield', 'Alice Munro', 'Jean Thompson', 'Frank Gannon', 'Patricia Highsmith', 'Jincy Willett']","['4.00', '3.91', '4.08', '3.69', '3.77', '4.16', '3.84', '3.62', '3.62', '3.94', '3.83', '3.73', '4.03', '3.78', '3.92', '3.49', '3.66', '3.87', '3.60']",[],[],[],"A must-have for the fans of the #1 bestselling author of Me Talk Pretty One Day, David Sedaris, a collection of his favorite short fiction from Flannery O'Connor to Tobias Wolff.<br /><br />A bestseller in its own right and a must-have for fans of the #1 bestselling author David Sedaris, a collection of his favorite short fiction.<br /><br />David Sedaris is an exceptional reader. Alone in his apartment, he reads stories aloud to the point he has them memorized. Sometimes he fantasizes that he wrote them. Sometimes, when they’re his very favorite stories, he’ll fantasize about reading them in front of an audience and taking credit for them. The audience in these fantasies always loves him and gives him the respect he deserves.<br /><br />David Sedaris didn’t write the stories in Children Playing Before a Statue of Hercules . But he did read them. And he liked them enough to hand pick them for this collection of short fiction. Featuring such notable writers as Lorrie Moore, Alice Munro, Joyce Carol Oates, Jean Thompson, and Tobias Wolff, Children Playing Before a Statue of Hercules includes some of the most influential and talented short story writers, contemporary and classic.<br /><br />Perfect for fans who suffer from Sedaris fever, Children Playing Before a Statue of Hercules will tide them over and provide relief.<br />2 hrs 56 mins"
14281,6410,Selected Stories,067976674X,9780679766742,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351625575l/14281._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351625575l/14281._SX50_.jpg,1997,11,11,eng,Vintage,false,351589,15,18256,27269,6365,331,5:3248|4:2066|3:745|2:224|1:82|total:6365,1985,1,14,4.28,5786,287,['6410'],['Alice Munro'],['3.92'],[],[],[],"Spanning almost thirty years and settings that range from big cities to small towns and farmsteads of rural Canada, this magnificent collection brings together twenty-eight stories by a writer of unparalleled wit, generosity, and emotional power. In her <b>Selected Stories</b>, Alice Munro makes lives that seem small unfold until they are revealed to be as spacious as prairies and locates the moments of love and betrayal, desire and forgiveness, that change those lives forever. To read these stories--about a traveling salesman and his children on an impromptu journey; an abandoned woman choosing between seduction and solitude--is to succumb to the spell of a writer who enchants her readers utterly even as she restores them to their truest selves.<br /><br />Walker brothers cowboy --<br />Dance of the happy shades --<br />Postcard --<br />Images --<br />Something I've been meaning to tell you --<br />The Ottawa Valley --<br />Material --<br />Royal beatings --<br />Wild swans --<br />The beggar maid --<br />Simon's luck --<br />Chaddeleys and Flemings --<br />Dulse --<br />The turkey season --<br />Labor Day dinner --<br />The moons of Jupiter --<br />The progress of love --<br />Lichen --<br />Miles City, Montana --<br />White dump --<br />Fits --<br />Friend of my youth --<br />Meneseteung --<br />Differently --<br />Carried away --<br />The Albanian virgin --<br />A wilderness station --<br />Vandals."
14286,6410,Open Secrets,0679755624,9780679755623,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352920613l/14286._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352920613l/14286._SY75_.jpg,1995,11,7,eng,Vintage,false,818191,57,12244,19863,4888,397,5:1793|4:1951|3:860|2:230|1:54|total:4888,1994,,,4.06,4100,303,['6410'],['Alice Munro'],['3.92'],[],[],[],"In these eight tales, Munro evokes the devastating power of old love suddenly recollected. She tells of vanished schoolgirls and indentured frontier brides and an eccentric recluse who, in the course of one surpassingly odd dinner party, inadvertently lands herself a wealthy suitor from exotic Australia. And Munro shows us how one woman's romantic tale of capture and escape in the high Balkans may end up inspiring another woman who is fleeing a husband and lover in present-day Canada."
