id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
345291,13450,Short Shorts,0553274406,9780553274400,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320462983l/345291._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320462983l/345291._SY75_.jpg,1982,,,en-US,Bantam,false,692885,7,493,716,186,25,5:54|4:67|3:49|2:15|1:1|total:186,1982,,,3.85,176,23,"['18365', '3977744', '8407795', '74572', '128382', '34055', '6895021', '15435', '35258', '16839', '7728', '500', '18362', '63552', '7469', '485948', '54427', '41028', '13450', '44315', '39326', '43740', '6895023', '5076478', '40303', '169899', '5031025', '194351', '19879', '18791', '95937', '5144', '17623', '7702', '5223', '45645', '1455']","['Irving Howe', 'Ilana W. Howe', 'Giuseppe Tomasi di Lampedusa', 'Katherine Anne Porter', 'Leo Tolstoy', 'Isaac Babel', 'Mikhail Zoschenko', 'William Carlos Williams', 'Yukio Mishima', 'James Thurber', 'Doris Lessing', 'Jorge Luis Borges', 'Sholom Aleichem', 'Varlam Shalamov', 'Octavio Paz', 'Jerome Weidman', 'Heinrich von Kleist', 'Grace Paley', 'Gabriel García Márquez', 'Augusto Monterroso', 'Heinrich Böll', 'Paula Fox', 'Maria Luise Kaschnitz', 'I.L. Peretz', 'Luisa Valenzuela', 'Gottfried Keller', 'Anton Chekhov', 'Giovanni Verga', 'Stephen Crane', 'Guy de Maupassant', 'João Guimarães Rosa', 'James Joyce', 'D.H. Lawrence', 'Luigi Pirandello', 'Franz Kafka', 'Sherwood Anderson', 'Ernest Hemingway']","['3.97', '3.85', '4.00', '3.93', '4.06', '4.08', '3.85', '4.13', '3.93', '3.95', '3.65', '4.30', '4.10', '4.35', '4.14', '3.83', '3.54', '4.06', '3.97', '3.98', '3.87', '3.64', '3.85', '3.85', '4.05', '3.28', '3.96', '3.56', '3.41', '3.86', '4.35', '3.74', '3.59', '3.96', '3.89', '3.84', '3.83']",[],[],[],"<b><br />Short Shorts</b> is a delightful anthology of miniature masterpieces. Here are thirty-eight brief, brilliant flashes of fiction, both classic and contemporary. Each work is superb, intense, and speaks to the human condition in a profound, often provocative way–a truly outstanding collection by some of the worlds greatest authors."
366581,13450,"Other Voices, Other Vistas: Short Stories from Africa, China, India, Japan, and Latin America",0451528409,9780451528407,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,6,1,eng,Signet,false,356600,3,721,710,191,24,5:41|4:76|3:56|2:15|1:3|total:191,1992,3,3,3.72,159,21,"['29529', '8051', '55397', '15900', '250326', '51936', '5481722', '523870', '971296', '1727610', '592499', '8841', '5833829', '2616', '1305302', '63189', '45895', '8550', '35258', '2238', '500', '1367127', '13450', '40303', '6526', '399905', '5481957']","['Barbara H. Solomon', 'Chinua Achebe', 'Nadine Gordimer', 'Bessie Head', 'Charles Mungoshi', ""Ngũgĩ wa Thiong'o"", 'Wang Anyi', 'Ding Ling', 'Wang Meng', 'Chen Rong', 'Lu Wenfu', 'Anita Desai', 'Mahasweta Devi', 'Ruth Prawer Jhabvala', 'R.K. Narayan', 'Khushwant Singh', 'Sawako Ariyoshi', 'Yasunari Kawabata', 'Yukio Mishima', 'Isabel Allende', 'Jorge Luis Borges', 'Carlos Fuentes', 'Gabriel García Márquez', 'Luisa Valenzuela', 'Kōbō Abe', 'Yūko Tsushima', 'Various']","['3.71', '3.69', '3.57', '3.81', '3.87', '3.91', '3.79', '3.80', '3.81', '3.73', '3.61', '3.54', '3.99', '3.56', '4.00', '3.76', '3.87', '3.75', '3.93', '3.97', '4.30', '3.81', '3.97', '4.05', '3.81', '3.65', '3.98']",[],[],[],"""Taking us into the houses, streets, villages, cities - and hearts - of people around the globe, this exciting collection makes accessible a truly cross-cultural selection of important short fiction. Twenty-five contemporary stories from five cultures far different from our own bring us the distinct flavours and sights, values and conflicts of modern Africa, China, India, Japan, and Latin America. But against the totally foreign and exotic backdrops, the powerful dramas and relationships that come to life are universal and instantly familiar. Bringing together the works of writers as diverse as Bessie Head, Lu Wenfu, Mahasweta Devi, Yuko Tsushima, and Luisa Valenzuela, this unique collection of world literature expands our cultural horizons.""<br /><br />This collection of contemporary multi-cultural fiction includes stories by: Bessie Head * Charles Mungoshi * Ngugi wa Thiong'o * Wang Anyi * Ding Ling * Wang Meng * Chen Rong * Lu Wenfu * Anita Desai * Mahasweta Devi * Ruth Prawer Jhabvala * R. K. Narayan * Khushwant Singh * Kobo Abe * Sawako Ariyoshi * Yasunari Kawabata * Yukio Mishima * Yuko Tsushima  * Carlos Fuentes * Luisa Valenzuela * Nadine Gordimer * Isabel Allende"
11754446,13450,La mala hora / El general en su laberinto / El amor en los tiempos del cólera,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1990,,,spa,,false,16704559,1,341,687,163,6,5:81|4:51|3:21|2:5|1:5|total:163,1990,,,4.21,163,6,['13450'],['Gabriel García Márquez'],['3.97'],[],[],[],
22614108,13450,Сто лет одиночества. Повести и рассказы,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404282095l/22614108._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404282095l/22614108._SX50_.jpg,1979,,,rus,,false,51397048,1,340,669,159,9,5:83|4:39|3:25|2:11|1:1|total:159,,,,4.21,159,9,"['13450', '5269656']","['Gabriel García Márquez', 'Габриэль Гарсиа Маркес']","['3.97', '4.18']",[],[],[],
764280,13450,La luz es como agua,9580455716,9789580455714,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,spa,,false,50864953,7,370,657,155,17,5:74|4:52|3:22|2:6|1:1|total:155,2010,1,1,4.24,97,9,['13450'],['Gabriel García Márquez'],['3.97'],[],[],[],
1089831,13450,La siesta del martes,9580455740,9789580455745,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,1076625,3,321,652,174,8,5:40|4:74|3:43|2:10|1:7|total:174,1962,1,1,3.75,136,7,"['13450', '341111']","['Gabriel García Márquez', 'Carme Solé Vendrell']","['3.97', '4.08']",[],[],[],
1983715,13450,روزی همچون روزهای دیگر,9647196164,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,,,per,آریابان,false,2127402,7,316,639,202,19,5:20|4:56|3:78|2:33|1:15|total:202,2008,6,1,3.16,64,3,['13450'],['Gabriel García Márquez'],['3.97'],['2824614'],['نیکتا تیموری'],['2.96'],زن پاسخی نداد و چشمانش به سوی دستمالی قرمز رنگ -که در دست شوهرش بود- خیره ماند؛ لب‌هایش را به هم فشار داد و لرزشی ناخودآگاه و غیر ارادی، بر وجودش چیره شد. داماسو با خشونتی توام با بی‌زبانی، دست‌هایش را به گردن او انداخت. زن متوجه شد که بویی مشمئزکننده از دهان او می‌آید؛
52487014,13450,A Very Old Man with Enormous Wings,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,72439645,2,333,634,169,13,5:47|4:52|3:53|2:15|1:2|total:169,,,,3.75,169,13,['13450'],['Gabriel García Márquez'],['3.97'],[],[],[],
3722891,13450,Cuentos latinoamericanos: Antología,9789801500,7591452400752,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1294034619l/3722891._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1294034619l/3722891._SY75_.jpg,2003,,,spa,Alfaguara,false,3766603,7,498,631,179,10,5:34|4:63|3:56|2:15|1:11|total:179,1989,1,1,3.53,158,9,"['8058814', '12551', '25824', '21778', '3424060', '13450', '500']","['Conrado Zuloaga', 'Alejo Carpentier', 'Julio Cortázar', 'Juan Rulfo', 'Adolfo Bioy Casares', 'Gabriel García Márquez', 'Jorge Luis Borges']","['3.50', '3.90', '4.22', '4.10', '3.98', '3.97', '4.30']",[],[],[],"Incluye:<br />""Hombre de la esquina rosada"", de Jorge Luis Borges<br />""Los fugitivos"", de Alejo Carpentier<br />""La autopista del sur"", de Julio Cortázar<br />""Nos han dado la tierra"", de Juan Rulfo<br />""Recuerdo de las sierras"", de Adolfo Bioy Casares<br />""En este pueblo no hay ladrones"", de Gabriel García Márquez<br /><br />Contratapa: ""Este volumen reúne seis cuentos de seis maestros indiscutibles. Y hasta el más desprevenido lector reconoce que ellos, con su oficio solitario, han engrandecido el arte literario latinoamericano. Cada uno de ellos abre un horizonte inolvidable. Borges, con un malevo orillero -como lo llamaría, tal vez, él mismo- que le cuenta al autor sus avatares. Cortázar y un embotellamiento de tránsito alucinante de imprevistas consecuencias. Carpentier y la historia de un negro fugitivo compartida por su perro mudo. Rulfo y la mirada inescrutable del campesino burlado. Bioy Casares y los conflictos interiores de un hombre enamorado. García Márquez y la prodigiosa historia de un hombre y un robo insípidos. Todos y cada uno, constituyen una mirada distinta, una revelación que despierta en el lector el apetito insaciable por continuar leyéndolos."""
41880622,13450,The Scandal of the Century: And Other Writings,0525656421,9780525656425,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541805960l/41880622._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541805960l/41880622._SX50_.jpg,2019,5,14,eng,Knopf Publishing Group,false,65372807,18,2088,625,147,25,5:68|4:53|3:21|2:5|1:0|total:147,2018,9,6,4.25,68,15,['13450'],['Gabriel García Márquez'],['3.97'],['232851'],['Anne McLean'],['3.78'],"<b>From one of the titans of twentieth-century literature, collected here for the first time: a selection of his journalism from the late 1940s to the mid-1980s--work that he considered even more important to his legacy than his universally acclaimed works of fiction.</b><br /><br />""I don't want to be remembered for <i>One Hundred Years of Solitude</i> or for the Nobel Prize but rather for my journalism,"" Gabriel Garc�a M�rquez said in the final years of his life. And while some of his journalistic writings have been made available over the years, this is the first volume to gather a representative selection from across the first four decades of his career--years during which he worked as a full-time, often muckraking, and controversial journalist, even as he penned the fiction that would bring him the Nobel Prize in 1982. Here are the first pieces he wrote while working for newspapers in the coastal Colombian cities of Cartagena and Barranquilla . . . his longer, more fictionlike reportage from Paris and Rome . . . his monthly columns for Spain's <i>El Pa�s.</i> And while all the work points in style, wit, depth, and passion to his fiction, these fifty pieces are, more than anything, a revelation of the writer working at the profession he believed to be ""the best in the world."""
