id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
15841089,4391,Uomo invisibile,8806122843,9788806122843,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345638759l/15841089._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345638759l/15841089._SY75_.jpg,1993,4,,ita,Einaudi,false,170957,141,344183,583732,150979,5501,5:50173|4:51336|3:33386|2:11281|1:4803|total:150979,1952,,,3.87,18,3,"['7508', '37715', '518031', '4391']","['Ralph Ellison', 'Carlo Fruttero', 'Luciano Gallino', 'Saul Bellow']","['3.87', '3.93', '4.11', '3.76']",[],[],[],"Il protagonista del romanzo non ha nome: è un giovane come ce ne sono tanti e la sua storia vuole avere un valore esemplare. La sua ""invisibilità"" è quella di tutti i neri, non soltanto umiliati, sfruttati ed adoperati in questa o quella occasione, ma radicalmente negati nella loro esistenza di uomini. Due sono i poli della storia: il Sud dei campi di cotone, dove i neri vivono ancora nelle baracche del tempo degli schiavi; il Sud che il protagonista, cacciato dal suo collegio, lascerà per cercare fortuna a New York. Qui, dove pure i negri sembrano vivere liberamente a contatto con i bianchi, egli andrà scoprendo una più sottile e crudele solitudine; l'indifferenza, più disumana della solitudine"
6551,4391,Herzog,0142437298,9780142437292,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924221l/6551._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924221l/6551._SY75_.jpg,2003,2,25,eng,Penguin Classics,false,2088454,126,48370,69432,18387,1078,5:5137|4:6664|3:4511|2:1483|1:592|total:18387,1964,,,3.78,16718,828,"['4391', '463']","['Saul Bellow', 'Philip Roth']","['3.76', '3.81']",[],[],[],"This is the story of Moses Herzog, a great sufferer, joker, mourner, and charmer. Although his life steadily disintegrates around him - he has failed as a writer and teacher, as a father, and has lost the affection of his wife to his best friend - Herzog sees himself as a survivor, both of his private disasters and those of the age. He writes unsent letters to friends and enemies, colleagues and famous people, revealing his wry perception of the world around him, and the innermost secrets of his heart."
11908,4391,The Adventures of Augie March,0143039571,9780143039570,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,10,3,eng,Penguin Classics,false,2453177,88,49083,62327,16213,989,5:5217|4:5560|3:3646|2:1274|1:516|total:16213,1953,9,18,3.84,14899,765,"['4391', '3956']","['Saul Bellow', 'Christopher Hitchens']","['3.76', '4.13']",[],[],[],"Augie comes on stage with one of literature’s most famous opening lines. “I am an American, Chicago born, and go at things as I have taught myself, free-style, and will make the record in my own way: first to knock, first admitted.” It’s the “Call me Ishmael” of mid-20th-century American fiction. (For the record, Bellow was born in Canada.) Or it would be if Ishmael had been more like Tom Jones with a philosophical disposition. With this teeming book Bellow returned a Dickensian richness to the American novel. As he makes his way to a full brimming consciousness of himself, Augie careens himself through numberless occupations, and countless mentors and exemplars, all the while enchanting us with the slapdash American music of his voice."
52783,4391,Henderson the Rain King,0140189424,9780140189421,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1297116277l/52783._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1297116277l/52783._SY75_.jpg,1996,,,eng,Penguin,false,2222957,29,25904,51782,13693,785,5:3998|4:4699|3:3433|2:1134|1:429|total:13693,1959,,,3.78,12614,607,['4391'],['Saul Bellow'],['3.76'],['705963'],['Luciano Bianciardi'],['3.88'],"Henderson has come to Africa on a spiritual safari, a quest for the truth. His feats of strength, his passion for life, and, most importantly, his inadvertant success in bringing rain have made him a god-like figure among the tribes."
52782,4391,Seize the Day,0142437611,9780142437612,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,5,27,eng,Penguin Classics,false,1311535,77,18956,34571,9765,746,5:1631|4:3568|3:3266|2:1046|1:254|total:9765,1956,11,15,3.54,7963,529,"['4391', '43530']","['Saul Bellow', 'Cynthia Ozick']","['3.76', '3.73']",[],[],[],"Deftly interweaving humor and pathos, Saul Bellow evokes in the climactic events of one day the full drama of one man's search to affirm his own worth and humanity."
11494,4391,Humboldt's Gift,0140189440,9780140189445,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1996,6,1,eng,Penguin Classics,false,1644010,78,22355,31126,8072,544,5:2420|4:3026|3:1873|2:550|1:203|total:8072,1975,,,3.86,7048,383,['4391'],['Saul Bellow'],['3.76'],[],[],[],"The novel, for which Bellow won the Pulitzer Prize for Fiction in 1976, is a self-described ""comic book about death,"" whose title character is modeled on the self-destructive lyric poet Delmore Schwartz. Charlie Citrine, an intellectual, middle-aged author of award-winning biographies and plays, contemplates two significant figures and philosophies in his life: Von Humboldt Fleisher, a dead poet who had been his mentor, and Rinaldo Cantabile, a very-much-alive minor mafioso who has been the bane of Humboldt's existence. Humboldt had taught Charlie that art is powerful and that one should be true to one's own creative spirit. Rinaldo, Charlie's self-appointed financial adviser, has always urged Charlie to use his art to turn a profit. At the novel's end, Charlie has managed to set his own course."
13583155,4391,The Closing of the American Mind: How Higher Education Has Failed Democracy and Impoverished the Souls of Today's Students,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333842484l/13583155._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333842484l/13583155._SY75_.jpg,2012,4,3,eng,,false,1856482,34,14123,17519,4661,462,5:1354|4:1638|3:1060|2:408|1:201|total:4661,1987,12,,3.76,1,0,"['43127', '4391', '164167']","['Allan Bloom', 'Saul Bellow', 'Andrew Ferguson']","['3.86', '3.76', '3.77']",[],[],[],"Foreword <br />Students <br />The clean slate <br />Books <br />Music <br />Relationships<br />Nihilism, American style<br />The German connection <br />Two revolutions &amp; two states of nature<br />The self <br />Creativity<br />Culture<br />Values <br />The Nietzcheanization of the left or vice versa<br />Our ignorance<br />The university<br />From Socrates Apology to Heidegger's Rektoratsrede<br />The Sixties<br />The student &amp; the university<br />Index"
11910,4391,Mr. Sammler's Planet,0142437832,9780142437834,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,1,6,eng,Penguin Classics,false,1228744,67,6432,11808,3141,198,5:814|4:1180|3:804|2:263|1:80|total:3141,1970,,,3.76,2748,138,"['4391', '26407']","['Saul Bellow', 'Stanley Crouch']","['3.76', '3.79']",[],[],[],"<b>“An enduring testament and prophecy.” –<i>Chicago Sun-Times</i></b><br /><br /> Mr. Artur Sammler, Holocaust survivor, intellectual, and occasional lecturer at Columbia University in 1960s New York City, is a “registrar of madness,” a refined and civilized being caught among people crazy with the promises of the future (moon landings, endless possibilities).  His Cyclopean gaze reflects on the degradations of city life while looking deep into the sufferings of the human soul.  “Sorry for all and sore at heart,” he observes how greater luxury and leisure have only led to more human suffering. To Mr. Sammler—who by the end of this ferociously unsentimental novel has found the compassionate consciousness necessary to bridge the gap between himself and his fellow beings—a good life is one in which a person does what is “required of him.” To know and to meet the “terms of the contract” was as true a life as one could possibly live.  At its heart, this novel is quintessential Bellow: moral, urbane, sublimely humane.<br /><br /> This Penguin Classics edition features an introduction by Stanley Crouch.<br /><br />For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators."
324245,4391,Ravelstein,0141001763,9780141001760,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401071876l/324245._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401071876l/324245._SY75_.jpg,2001,5,1,eng,Penguin Books,false,1427,61,5810,10904,3013,262,5:602|4:1118|3:920|2:289|1:84|total:3013,2000,4,,3.62,2619,216,['4391'],['Saul Bellow'],['3.76'],[],[],[],"Abe Ravelstein is a brilliant professor at a prominent midwestern university and a man who glories in training the movers and shakers of the political world. He has lived grandly and ferociously-and much beyond his means. His close friend Chick has suggested that he put forth a book of his convictions about the ideas which sustain humankind, or kill it, and much to Ravelstein's own surprise, he does and becomes a millionaire. Ravelstein suggests in turn that Chick write a memoir or a life of him, and during the course of a celebratory trip to Paris the two share thoughts on mortality, philosophy and history, loves and friends, old and new, and vaudeville routines from the remote past. The mood turns more somber once they have returned to the Midwest and Ravelstein succumbs to AIDS and Chick himself nearly dies.<br /><br />Deeply insightful and always moving, Saul Bellow's heartfelt novel is a journey through love and memory. It is brave, dark, and bleakly funny: an elegy to friendship and to lives well (or badly) lived."
131146,4391,The Best American Short Stories of the Century,0395843677,9780395843673,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,4,20,en-US,Mariner Books,false,75054,13,5762,8849,2139,166,5:875|4:805|3:356|2:83|1:20|total:2139,2000,4,20,4.14,1987,145,"['6878', '25096', '1455', '881203', '703276', '74572', '3535', '6895880', '3190', '6895881', '4095', '3736', '9657', '7973', '22234', '5152', '175078', '162626', '988142', '41588', '951139', '14012', '7751', '7464', '22694', '1894802', '463', '95659', '447', '3524', '209339', '110540', '32872', '14444', '24425', '10985', '31134', '2424', '4391', '43530', '7363', '6746', '7907', '6895882', '2330', '6895883', '154569', '45645', '273838']","['John Updike', 'Jean Toomer', 'Ernest Hemingway', 'Willa Cather', 'Grace Stone Coates', 'Katherine Anne Porter', 'William Faulkner', 'Dorother Parker', 'F. Scott Fitzgerald', 'Alexander Godin', 'William Saroyan', 'Robert Penn Warren', 'Richard Wright', 'Eudora Welty', 'Paul Horgan', 'Vladimir Nabokov', 'Jean Stafford', 'Martha Gellhorn', 'E.B. White', 'Elizabeth Bishop', 'J.F. Powers', 'Katrina Kenison', 'Tennessee Williams', 'John Cheever', ""Flannery O'Connor"", 'Lawrence Sargent Hall', 'Philip Roth', 'Stanley Elkin', 'Bernard Malamud', 'Joyce Carol Oates', 'Mary Ladd Gavell', 'James Alan McPherson', 'Gish Jen', 'Isaac Bashevis Singer', 'Donald Barthelme', 'Rosellen Brown', 'Alice Adams', 'Harold Brodkey', 'Saul Bellow', 'Cynthia Ozick', 'Raymond Carver', 'Ann Beattie', 'Susan Sontag', 'Benjamin Rosenblatt', ""Tim O'Brien"", 'Mary Lerner', 'Susan Glaspell', 'Sherwood Anderson', 'Ring Lardner']","['3.80', '3.94', '3.83', '3.83', '4.14', '3.93', '3.85', '4.14', '3.90', '4.14', '4.06', '4.08', '4.02', '3.87', '4.10', '3.89', '3.97', '3.99', '4.15', '4.20', '4.05', '3.88', '3.92', '3.97', '4.16', '4.14', '3.81', '3.90', '3.86', '3.69', '4.13', '4.08', '3.65', '4.05', '3.96', '3.85', '3.82', '3.99', '3.76', '3.73', '4.20', '3.63', '3.96', '4.14', '4.08', '4.13', '3.93', '3.84', '3.90']",[],[],[],"Since the series' inception in 1915, the annual volumes of The Best American Short Stories have launched literary careers, showcased the most compelling stories of each year, and confirmed for all time the significance of the short story in our national literature. Now THE BEST AMERICAN SHORT STORIES OF THE CENTURY brings together the best of the best - fifty-five extraordinary stories that represent a century's worth of unsurpassed accomplishments in this quintessentially American literary genre. Here are the stories that have endured the test of time: masterworks by such writers as Ernest Hemingway, William Faulkner, Willa Cather, F. Scott Fitzgerald, William Saroyan, Flannery O'Connor, John Cheever, Eudora Welty, Philip Roth, Joyce Carol Oates, Raymond Carver, Cynthia Ozick, and scores of others. These are the writers who have shaped and defined the landscape of the American short story, who have unflinchingly explored all aspects of the human condition, and whose works will continue to speak to us as we enter the next century. Their artistry is represented splendidly in these pages. THE BEST AMERICAN SHORT STORIES series has also always been known for making literary discoveries, and discovery proved to be an essential part of selecting the stories for this volume too. Collections from years past yielded a rich harvest of surprises, stories that may have been forgotten but still retain their relevance and luster. The result is a volume that not only gathers some of the most significant stories of our century between two covers but resurrects a handful of lost literary gems as well. Of all the great writers whose work has appeared in the series, only John Updike's contributions have spanned five consecutive decades, from his first appearance, in 1959. Updike worked with coeditor Katrina Kenison to choose stories from each decade that meet his own high standards of literary quality."
