id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
33779207,5442509,"Las Mejores P�ginas de Jacinto Benavente, Vol. 1 (Classic Reprint)",133484321X,9781334843211,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541415588l/33779207._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541415588l/33779207._SX50_.jpg,2018,10,14,,Forgotten Books,false,54658825,2,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],"Excerpt from Las Mejores P�ginas de Jacinto Benavente, Vol. 1<br /><br />He aqui un libro de actualidad palpitante: el alegato m�s formidable en una pol�mica literaria y el recordatorio m�s oportuno para cr�ticos des memoriados. Una afirmaci�n rotunda y categ�ri ca de que Benavente es el m�s grande de los valores positivos en la dramaturgia castellana actual y una demostraci�n concluyente de que es, entre los literatos contempor�neos, uno de los que m�s fuertemente han sentido, en toda su in tegridad, la vida de su _�poca, y tal vez el que con mayor fuerza de inteligencia y de cultura ha podido transformar enpensamiento educativo y orientador sus sensaciones. Un libro que lleva por r�tulo las mejores p�ginas DE benavente, y al que yo titular�a, con m�s verdad, Nuevo arte de hacer comedias, si no viese en �l, junto a un c�digo t�cito de literatura dram�tica, un arte nue vo de vivir, una serie de lecciones experimenta les que, bien aprendidas por todos, engendrar�an una Humanidad mejor.<br /><br />About the Publisher<br /><br />Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at <a target=""_blank"" href=""http://www.forgottenbooks.com"" rel=""nofollow"">www.forgottenbooks.com</a><br /><br />This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works."
35536202,5442509,"Teatro, Vol. 12: El Susto de la Condesa; Cuento Inmoral; La Sobresalienta; Los Malhechores del Bien (Classic Reprint)",0259573957,9780259573951,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498794852l/35536202._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498794852l/35536202._SX50_.jpg,2018,10,23,,Forgotten Books,false,56959497,4,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],"Excerpt from Teatro, Vol. 12: El Susto de la Condesa; Cuento Inmoral; La Sobresalienta; Los Malhechores del Bien<br /><br />Si, se�or, si; es decir, no; no creo...; pero este modo de presentarse � estas horas... tome usted, tome usted; y salga en seguida.<br /><br />About the Publisher<br /><br />Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at <a target=""_blank"" href=""http://www.forgottenbooks.com"" rel=""nofollow"">www.forgottenbooks.com</a><br /><br />This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works."
39521157,5442509,"�no Quiero, No Quiero!: Comedia En Tres Actos (Classic Reprint)",0364062932,9780364062937,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522608271l/39521157._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522608271l/39521157._SX50_.jpg,2018,5,7,,Forgotten Books,false,61145610,2,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],"Excerpt from �No Quiero, No Quiero!: Comedia en Tres Actos<br /><br />Cuando se Busca algo y no se encuentra es un �fas fidio. Alberto.' S�, es un fastidio. �espera usted a la se�ora Condesa? S�; ya me han dicho que ta�dar� un poco. �sabe que est� usted aqu�? Si, ya lo sabe.<br /><br />About the Publisher<br /><br />Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at <a target=""_blank"" href=""http://www.forgottenbooks.com"" rel=""nofollow"">www.forgottenbooks.com</a><br /><br />This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works."
43923143,5442509,La Honra de Los Hombres: Comedia En DOS Actos (Classic Reprint),0666374775,9780666374776,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550179853l/43923143._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550179853l/43923143._SX50_.jpg,2019,2,3,,Forgotten Books,false,68346895,1,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],"Excerpt from La Honra de los Hombres: Comedia en Dos Actos<br /><br />Paula. �duerme el ni�o? S�; no se ha despertado desde que tom� la sopi ta. �ya te has vestido? Si; el barco llega entre once y doce; a esa hora le esperan en el puerto.<br /><br />About the Publisher<br /><br />Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at <a target=""_blank"" href=""http://www.forgottenbooks.com"" rel=""nofollow"">www.forgottenbooks.com</a><br /><br />This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works."
39642666,5442509,Plays. Translated from the Spanish with an Introduction by John Garrett Underhill Volume; Series 1,1378660668,9781378660669,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523388768l/39642666._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523388768l/39642666._SX50_.jpg,2018,2,24,,Palala Press,false,61213968,1,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.<br /><br />This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.<br /><br />As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
11654483,5442509,Zaragueta,1145229018,9781145229013,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,16599057,1,2,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,2010,2,23,0.00,0,0,"['5442509', '4138400', '4126711']","['Jacinto Benavente', 'Miguel Ramos Carrión', 'Vital Aza']","['3.29', '4.25', '3.00']",[],[],[],
35460262,5442509,"Gente Conocida, Escenas de la Vida Moderna, Divididas En Cuatro Actos, E, El Hombrecito, Comedia En Tres Actos (Classic Reprint)",0282300295,9780282300296,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497864409l/35460262._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497864409l/35460262._SX50_.jpg,2018,4,25,,Forgotten Books,false,56851217,2,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],"Excerpt from Gente Conocida, Escenas de la Vida Moderna, Divididas en Cuatro Actos, E, el Hombrecito, Comedia en Tres Actos<br /><br />Pero en casi todos los autores que han empleado este procedimiento, se advierte m�s el deseo de vindicarse de ajenas criticas, de satisfacer su amor propio de autores, lastimado, o de esclarecer alg�n punto oscuro de sus obras.<br /><br />About the Publisher<br /><br />Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at <a target=""_blank"" href=""http://www.forgottenbooks.com"" rel=""nofollow"">www.forgottenbooks.com</a><br /><br />This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works."
31582415,5442509,La Vestal de Occidente: Drama en Cuatro Actos;,1333266138,9781333266134,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2019,2,16,spa,Forgotten Books,false,52273684,1,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,1919,,,0.00,0,0,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],"Excerpt from La Vestal de Occidente: Drama en Cuatro Actos<br /><i>Segun dicen, Felipe de Espana ha quedado muy agradecido a la caballerosidad del de Essex. Ase guran que ha dicho ante su corte: lastima que tan noble caballero sea un hereje! Para que el rey Felipe estime la caballerosidad en un hereje, como el nos llama, es preciso que el hereje no sea muy temible. </i><br /><br />Estrenado en el Teatro de la Princesa en la Noche del 29 de marzo de 1919."
35688449,5442509,El Principe Que Todo Lo Aprendio En Los Libros...,1274430666,9781274430663,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2012,2,4,,Nabu Press,false,57171221,1,1,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],"This is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book. ++++ The below data was compiled from various identification fields in the bibliographic record of this title. This data is provided as an additional tool in helping to ensure edition identification: ++++ El PrIncipe Que Todo Lo AprendiO En Los Libros; New-world Spanish Series Jacinto Benavente World Book Company, 1920 Business &amp; Economics; Human Resources &amp; Personnel Management; Business &amp; Economics / Human Resources &amp; Personnel Management; Fiction / Literary"
26520080,5442509,El Amor Asusta,1332475450,9781332475452,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1477472420l/26520080._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1477472420l/26520080._SX50_.jpg,2018,10,12,spa,Forgotten Books,false,46511639,2,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,1913,,,0.00,0,0,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],Comedia en un acto y en prosa.<br /><br />Excerpt from El Amor Asusta: Comedia en un Acto y en Prosa <br />Y ahora cada cuatro dias este mismo trajin; porque ya no paramos mas de cuatro dias en nin guna parte.<br /><br />Estrenada en el Teatro Lara el día 10 de Enero de 1907.
