id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
10975,3535,The Sound and the Fury,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433089995l/10975._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433089995l/10975._SY75_.jpg,1990,10,,eng,Vintage International,false,1168289,648,345852,598619,155233,6838,5:56735|4:47645|3:30398|2:12715|1:7740|total:155233,1929,,,3.86,141906,5175,['3535'],['William Faulkner'],['3.85'],[],[],[],"<b>Alternate version of <a href=""https://www.goodreads.com/book/show/26197314-the-sound-and-the-fury?ac=1&amp;from_search=true&amp;qid=nVyAiWvaqu&amp;rank=1?ac=1&quot;"" rel=""nofollow"">this book</a>.</b><br /><br />The tragedy of the Compson family features some of the most memorable characters in literature: beautiful, rebellious Caddy; the manchild Benjy; haunted, neurotic Quentin; Jason, the brutal cynic; and Dilsey, their black servant. Their lives fragmented and harrowed by history and legacy, the character’s voices and actions mesh to create what is arguably Faulkner’s masterpiece and one of the greatest novels of the twentieth century."
77013,3535,As I Lay Dying,067973225X,9780679732259,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451810782l/77013._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451810782l/77013._SY75_.jpg,1991,1,30,eng,Vintage,false,481854,520,291188,495063,133258,7162,5:40088|4:43005|3:29757|2:12924|1:7484|total:133258,1930,,,3.72,122268,5727,['3535'],['William Faulkner'],['3.85'],[],[],[],"<b>
  <i>As I Lay Dying</i>
</b> is Faulkner’s harrowing account of the Bundren family’s odyssey across the Mississippi countryside to bury Addie, their wife and mother. Narrated in turn by each of the family members -- including Addie herself -- as well as others; the novel ranges in mood, from dark comedy to the deepest pathos. Considered one of the most influential novels in American fiction in structure, style, and drama, <b>
  <i>As I Lay Dying</i>
</b> is a true 20th-century classic. <br /><br />This edition reproduces the corrected text of <b>
  <i>As I Lay Dying</i>
</b> as established in 1985 by Noel Polk."
10979,3535,Light in August,0679732268,9780679732266,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355360091l/10979._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355360091l/10979._SY75_.jpg,1991,1,30,eng,Vintage,false,1595500,222,111274,205459,52108,2432,5:18389|4:18542|3:10443|2:3283|1:1451|total:52108,1932,3,12,3.94,48579,1948,['3535'],['William Faulkner'],['3.85'],[],[],[],"<i>Light in August</i>, a novel that contrasts stark tragedy with hopeful perseverance in the face of mortality, which features some of Faulkner’s most memorable characters: guileless, dauntless Lena Grove, in search of the father of her unborn child; Reverend Gail Hightower, a lonely outcast haunted by visions of Confederate glory; and Joe Christmas, a desperate, enigmatic drifter consumed by his mixed ancestry."
373755,3535,"Absalom, Absalom!",0679732187,9780679732181,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1990,11,30,eng,Vintage,false,1595511,176,99204,150972,38063,2050,5:15220|4:11725|3:7178|2:2498|1:1442|total:38063,1936,,,3.97,35223,1636,['3535'],['William Faulkner'],['3.85'],[],[],[],"Published in 1936, Absalom, Absalom! is considered by many to be William Faulkner's masterpiece. Although the novel's complex and fragmented structure poses considerable difficulty to readers, the book's literary merits place it squarely in the ranks of America's finest novels. The story concerns Thomas Sutpen, a poor man who finds wealth and then marries into a respectable family. His ambition and extreme need for control bring about his ruin and the ruin of his family. Sutpen's story is told by several narrators, allowing the reader to observe variations in the saga as it is recounted by different speakers. This unusual technique spotlights one of the novel's central questions: To what extent can people know the truth about the past?"
426025,3535,A Rose for Emily and Other Stories,0675093244,9780675093248,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519675187l/426025._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519675187l/426025._SX50_.jpg,1970,1,1,eng,Merrill Publishing Company,false,2902834,18,42720,101597,24981,523,5:9808|4:8790|3:4942|2:1130|1:311|total:24981,1930,11,1,4.07,24351,460,['3535'],['William Faulkner'],['3.85'],[],[],[],"Emily is a member of a family in the antebellum Southern aristocracy; after the Civil War, the family has fallen on hard times."
18789,3535,Sanctuary,0679748148,9780679748144,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385366876l/18789._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385366876l/18789._SY75_.jpg,1993,12,6,eng,Vintage,false,1646639,262,26094,39501,10851,734,5:2233|4:4072|3:3292|2:918|1:336|total:10851,1931,,,3.64,9462,552,['3535'],['William Faulkner'],['3.85'],[],[],[],"Psychologically astute and wonderfully poetic, <i>Sanctuary</i> is a powerful novel examining the nature of true evil, through the prisms of mythology, local lore, and hard-boiled detective fiction. This is the dark, at times brutal, story of the kidnapping of Mississippi debutante Temple Drake, who introduces her own form of venality into the Memphis underworld where she is being held."
17726,3535,"Go Down, Moses",0679732179,9780679732174,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1991,1,30,eng,Vintage,false,912670,64,21577,35058,8915,461,5:2933|4:3348|3:1932|2:503|1:199|total:8915,1942,,,3.93,8366,373,['3535'],['William Faulkner'],['3.85'],[],[],[],"“I believe that man will not merely endure: he will prevail. He is immortal, not because he alone among creatures has an inexhaustible voice, but because he has a soul, a spirit capable of compassion and sacrifice and endurance.” —William Faulkner, on receiving the Nobel Prize<br /> <br /><i>Go Down, Moses</i> is composed of seven interrelated stories, all of them set in Faulkner’s mythic Yoknapatawpha County. From a variety of perspectives, Faulkner examines the complex, changing relationships between blacks and whites, between man and nature, weaving a cohesive novel rich in implication and insight."
10978,3535,Collected Stories,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417599787l/10978._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417599787l/10978._SY75_.jpg,1995,,,eng,Vintage International,false,1172043,49,17939,30690,7223,189,5:3432|4:2551|3:943|2:200|1:97|total:7223,1948,,,4.25,6826,141,['3535'],['William Faulkner'],['3.85'],[],[],[],"“A Bear Hunt,” “A Rose for Emily,” “Two Soldiers,” “Victory,” “The Brooch,” “Beyond”—these are among the forty-two stories that make up this magisterial collection by the writer who stands at the pinnacle of modern American fiction. Compressing an epic expanse of vision into narratives as hard and wounding as bullets, William Faulkner’s stories evoke the intimate textures of place, the deep strata of history and legend, and all the fear, brutality, and tenderness of which human beings are capable. <br /><br />These tales are set not only in Yoknapatawpha County but in Beverly Hills and in France during World War I; they are populated by such characters as the Faulknerian archetypes Flem Snopes and Quentin Compson (“A Justice”) as well as ordinary men and women who emerge in these pages so sharply and indelibly that they dwarf the protagonists of most novels.<br />--back cover<br /><br />Contains:<br />Barn burning --<br />Shingles for the Lord --<br />The tall men --<br />A bear hunt --<br />Two soldiers --<br />Shall not perish --<br />A rose for Emily --<br />Hair --<br />Centaur in brass --<br />Dry September --<br />Death drag --<br />Elly --<br />Uncle Willy --<br />Mule in the yard --<br />That will be fine --<br />That evening sun --<br />Red leaves --<br />A justice --<br />A courtship --<br />Lo! --<br />Ad Astra --<br />Victory --<br />Crevasse --<br />Turnabout --<br />All the dead pilots --<br />Wash --<br />Honor --<br />Dr. Martino --<br />Fox hunt --<br />Pennsylvania Station --<br />Artist at home --<br />The brooch --<br />My Grandmother Millard --<br />Golden land --<br />There was a queen --<br />Mountain victory --<br />Beyond --<br />Black music --<br />The leg --<br />Mistral --<br />Divorce in Naples --<br />Carcassonne."
210825,3535,The Reivers,0679741925,9780679741923,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393062591l/210825._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393062591l/210825._SY75_.jpg,1992,9,1,eng,Vintage International,false,3127511,1,16682,24315,6420,414,5:1698|4:2453|3:1649|2:446|1:174|total:6420,1962,,,3.79,5884,321,['3535'],['William Faulkner'],['3.85'],[],[],[],"One of Faulkner's comic masterpieces, The Reivers is a picaresque that tells of three unlikely car thieves from rural Mississippi. Eleven-year-old Lucius Priest is persuaded by Boon Hogganbeck, one of his family's retainers, to steal his grandfather's car and make a trip to Memphis. The Priests' black coachman, Ned McCaslin, stows away, and the three of them are off on a heroic odyssey, for which they are all ill-equipped, that ends at Miss Reba's bordello in Memphis. From there a series of wild misadventures ensues--invoving horse smuggling, trainmen, sheriffs' deputies, and jail."
128770,3535,The Unvanquished,0679736522,9780679736523,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333578865l/128770._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333578865l/128770._SY75_.jpg,1991,10,29,eng,Vintage,false,1405372,73,10630,19592,5202,354,5:1232|4:2078|3:1431|2:366|1:95|total:5202,1938,,,3.77,4782,294,['3535'],['William Faulkner'],['3.85'],[],[],[],"Set in Mississippi during the Civil War and Reconstruction, THE UNVANQUISHED focuses on the Sartoris family, who, with their code of personal responsibility and courage, stand for the best of the Old South's traditions."
