id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
40584320,966415,Mirella - Poesia - Prosa - O pazzia o sanità - La morte sulle labbra. Premi Nobel 1904,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529443796l/40584320._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529443796l/40584320._SY75_.jpg,1970,,,ita,UTET,false,63025094,1,2,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['966415', '567036']","['Frédéric Mistral', 'José Echegaray']","['3.54', '3.19']",[],[],[],Opere di Frédéric Mistral:<br />Mirella<br />Poesia<br />Prosa<br />Opere di José Echegaray:<br />O pazzia o sanità<br />La morte sulle labbra
52961637,966415,Mirèio Mireille Muereglie,,9782357405165,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2016,12,,oci,LivresEMCC,false,79383244,1,1,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],
37450955,966415,Mem�ri E Raconte (Classic Reprint),0332246612,9780332246611,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534123723l/37450955._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534123723l/37450955._SX50_.jpg,2018,7,30,,Forgotten Books,false,59073486,4,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],"Excerpt from Memori E Raconte<br /><br />Fugue a Paris e fugue a Roumo. Pauri couscri, ren vous fai gau; Trouvas Maiano senso egeu I' amarias mai mania 'no poumo Que dins Paris un perdigau.<br /><br />About the Publisher<br /><br />Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at <a target=""_blank"" href=""http://www.forgottenbooks.com"" rel=""nofollow"">www.forgottenbooks.com</a><br /><br />This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works."
29481610,966415,Mireio / Nerto / La reina Juana,8474611933,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457677826l/29481610._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457677826l/29481610._SX50_.jpg,1991,,,spa,Caralt,false,49762271,1,2,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],Escritor Francés En Lengua Occitana. Siglo XIX - XX. Novela. Premio Nobel Compartido En 1904.
1314480,966415,Correspondance De Frédéric Mistral Avec Paul Meyer Et Gaston Paris,2208032357,9782208032359,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1978,1,1,,Klincksieck,false,1303779,2,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],
45501921,966415,Mir�io: Pou�mo Prouven�au De Frederi Mistral ...,1011086735,9781011086733,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2019,3,24,,Wentworth Press,false,70277405,1,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.<br /><br />This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.<br /><br />As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
39765104,966415,"Le Tresor D�u Felibrige, Ou Dictionnaire Proven�al-Fran�ais, Vol. 2: Embrassant Les Divers Dialectes de la Langue d'Oc Moderne; G-Z (Classic Reprint)",0365603007,9780365603009,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523460498l/39765104._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523460498l/39765104._SX50_.jpg,2018,9,24,,Forgotten Books,false,61463319,2,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['966415'],['Frédéric Mistral'],['3.54'],[],[],[],"Excerpt from Le Tresor D�u Felibrige, ou Dictionnaire Proven�al-Fran�ais, Vol. 2: Embrassant les Divers Dialectes de la Langue d'Oc Moderne; G-Z<br /><br />Gabardo, s. F. Ga�'e, gaule servant 51 d� crocher, en bas Limousin, v. Ganche, verga do. R. Gabard.<br /><br />About the Publisher<br /><br />Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at <a target=""_blank"" href=""http://www.forgottenbooks.com"" rel=""nofollow"">www.forgottenbooks.com</a><br /><br />This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works."
26749088,966415,Memoirs of Mistral,1298874122,9781298874122,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444682990l/26749088._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444682990l/26749088._SY75_.jpg,2015,8,20,,Sagwan Press,false,46776573,11,1,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,2015,8,20,0.00,0,0,"['3379462', '966415']","['Constance Elizabeth Maud', 'Frédéric Mistral']","['3.85', '3.54']",[],[],[],"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
28063329,966415,Mirella: Opera in Three Acts,134314874X,9781343148741,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2015,9,19,,Palala Press,false,48067003,3,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['63127', '17773210', '966415']","['Charles Gounod', 'Michel Carré', 'Frédéric Mistral']","['3.94', '3.77', '3.54']",[],[],[],"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
43834708,966415,Short Poetry Collection 188,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549294953l/43834708._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549294953l/43834708._SX50_.jpg,2019,2,1,,LibriVox,false,68214795,1,1,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['354764', '803437', '851136', '4624490', '1438', '1030713', '1275833', '11978', '159920', '966415', '7568', '1203736', '25129', '17429624', '8164', '15022610', '127321', '44407', '3565', '36919', '415453', '5286766', '1838', '1126', '675063', '17167175', '17167174', '16177704', '805446', '16646983', '19769', '18066810', '4205797', '1204237', '14824336', '18848551', '18841583', '985229', '18848552', '57610', '18848553']","['Henry Vaughan', 'John Thelwall', 'Friedrich Rückert', 'Edgar Allan Poe', 'Walt Whitman', 'Ernest Hartley Coleridge', 'John Collings Squire', 'John Keats', 'Amy Lowell', 'Frédéric Mistral', 'Henry Van Dyke', 'Oliver Wendell Holmes Sr.', 'Paul Laurence Dunbar', 'Franklin Pierce Adams', 'Lewis Carroll', 'Jesse Erskine Dow', 'Dorothea Mackellar', 'Lord Byron', 'Oscar Wilde', 'Claude McKay', 'James  Montgomery', 'Bessie Rayner Parkes', 'Geoffrey Chaucer', 'Walter de la Mare', 'Genevieve Taggard', 'Phil Schempf', 'Newgatenovelist', 'Tomas Peter', 'Craig Campbell', 'Winston Tharp', 'Larry Wilson', 'Nemo (LibriVox)', 'Wayne Cooke', 'Colleen McMahon', 'Daryl Horton', 'billyp', 'Josh Kibbey', 'Sonia', 'Malka Davis', 'David  McKay', 'Lynne Schroeder']","['3.94', '3.19', '4.15', '4.17', '4.13', '4.12', '3.68', '4.18', '3.94', '3.54', '4.12', '3.93', '4.03', '0.0', '4.06', '0.0', '4.16', '3.96', '4.10', '3.89', '4.16', '3.50', '3.55', '3.99', '3.43', '3.59', '3.45', '3.87', '3.58', '3.28', '3.89', '3.67', '3.67', '3.44', '3.50', '0.0', '3.80', '3.77', '2.00', '3.99', '0.0']",[],[],[],This is a collection of 35 poems read in English by LibriVox volunteers for January 2019.
