id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
36498868,36635,Laberinto,9788498950,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,,,spa,Visor,false,58215113,1,1,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],
44565551,36635,Cartas: Antologia (Literatura),8423972518,9788423972517,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,69164750,1,2,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],
15466148,36635,"Seleccion de Cartas, 1899-1958",8436100816,9788436100815,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466436829l/15466148._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466436829l/15466148._SY75_.jpg,,,,,,false,21122511,1,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],
15165457,36635,ALA Compasiva,8498950546,9788498950540,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466574053l/15165457._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466574053l/15165457._SY75_.jpg,,,,,Agapea,false,20820687,1,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],
50354587,36635,Poemas escogidos / Selected Poems (Clasicos hispanicos / Hispanic Classics),8431635169,9788431635169,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,75300566,1,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['36635', '387653', '19901654']","['Juan Ramón Jiménez', 'Richard A. Cardwell', 'Albert Argullo']","['3.82', '3.89', '0.0']",[],[],[],
50055929,36635,Lírica de una Atlántida: En el otro costado. Una colina meridiana. Dios deseado y deseante. De ríos que se van (1936-1954) (Nuevos Textos Sagrados),,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,75040735,1,2,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],
24919258,36635,Madrid posible e imposible (Libros de Madrid nº 1),,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,44571871,1,3,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,2013,5,17,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],
15511357,36635,Un Andaluz de Fuego: Francisco Giner de Los Rios,8489777535,9788489777538,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,1,1,,Fundacion El Monte,false,21167839,1,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,1998,1,1,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],
42785776,36635,Obras selectas I: Antolojía jeneral en prosa 1898-1954,8447346129,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542223786l/42785776._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542223786l/42785776._SX50_.jpg,2005,,,spa,"RBA, Instituto Cervantes",false,66545633,1,2,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],"Nota editorial<br /><br />Toda la vasta producción de Juan Ramón Jiménez a lo largo de medio siglo es una búsqueda incansable hacia un Absoluto poético. Su evolución conscientemente asumida le llevó, hacia 1915, tras su primera fase, al abandono del decorativismo y la musicalidad de sello modernista, llevando a cabo una escrupulosa reelaboración de sus libros anteriores, que repudió. Y así seguirá, concentrado en su poesía, limándola y puliéndola toda su vida, en siempre renovadas ediciones, en lo que él llamó «la depuración constante de mí mismo».<br />En nuestro deseo de evitar confusiones de textos, entre lo antiguo y lo nuevo, hemos optado por ofrecer, en el caso de la narrativa, una amplísima colección —a cargo de los especialistas Ángel Crespo y Pilar Gómez Bedate— que reúna su producción esencial. Y en lo que a la poesía se refiere, les ofrecemos la última 'Antolojía poética' realizada por el propio autor, convencidos de ser fieles a su espíritu y de dar una imagen completa y representativa de Juan Ramón y de su largo trabajo creador.<br /><br />Los editores"
14940558,36635,The Naked Book!: An Illustrated Poem of Juan Ramon Jimenez,0934834431,9780934834438,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,20594926,1,0,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['36635'],['Juan Ramón Jiménez'],['3.82'],[],[],[],
