id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
6149,3534,Beloved,1400033411,9781400033416,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,6,8,eng,Vintage,false,736076,209,586482,1179952,307095,11396,5:105367|4:99829|3:63793|2:24316|1:13790|total:307095,1987,9,16,3.84,288109,9373,['3534'],['Toni Morrison'],['3.91'],[],[],[],"Staring unflinchingly into the abyss of slavery, this spellbinding novel transforms history into a story as powerful as Exodus and as intimate as a lullaby. <br /><br />Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has too many memories of Sweet Home, the beautiful farm where so many hideous things happened. Her new home is haunted by the ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved. <br /><br />Filled with bitter poetry and suspense as taut as a rope, <i>Beloved</i> is a towering achievement by Nobel Prize laureate Toni Morrison."
11337,3534,The Bluest Eye,0452287065,9780452287068,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,9,6,eng,Plume,false,1987778,132,287402,627115,155317,7816,5:57677|4:58408|3:29411|2:7044|1:2777|total:155317,1970,6,1,4.04,135566,5771,['3534'],['Toni Morrison'],['3.91'],[],[],[],"<i>The Bluest Eye</i> is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change- in painful, devastating ways.<br />What its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. <i>The Bluest Eye</i> remains one of Tony Morrisons's most powerful, unforgettable novels- and a significant work of American fiction."
11334,3534,Song of Solomon,140003342X,9781400033423,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451448230l/11334._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451448230l/11334._SY75_.jpg,2004,6,8,eng,Vintage,false,3215642,115,177820,330730,81402,3457,5:31945|4:29242|3:15064|2:3694|1:1457|total:81402,1977,,,4.06,75466,2866,['3534'],['Toni Morrison'],['3.91'],[],[],[],"Milkman Dead was born shortly after a neighborhood eccentric hurled himself off a rooftop in a vain attempt at flight. For the rest of his life he, too, will be trying to fly. With this brilliantly imagined novel, Toni Morrison transfigures the coming-of-age story as audaciously as Saul Bellow or Gabriel García Márquez. As she follows Milkman from his rustbelt city to the place of his family’s origins, Morrison introduces an entire cast of strivers and seeresses, liars and assassins, the inhabitants of a fully realized black world."
11346,3534,Sula,0452283868,9780452283862,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,4,5,eng,Plume Books,false,3207953,80,115200,226157,57517,3505,5:17885|4:22550|3:13250|2:2950|1:882|total:57517,1973,,,3.93,49558,2588,['3534'],['Toni Morrison'],['3.91'],[],[],[],"This rich and moving novel traces the lives of two black heroines from their close-knit childhood in a small Ohio town, through their sharply divergent paths of womanhood, to their ultimate confrontation and reconciliation.<br /><br />Nel Wright has chosen to stay in the place where she was born, to marry, raise a family, and become a pillar of the black community. Sula Peace has rejected the life Nel has embraced, escaping to college, and submerging herself in city life. When she returns to her roots, it is as a rebel and a wanton seductress. Eventually, both women must face the consequences of their choices. Together, they create an unforgettable portrait of what it means and costs to be a black woman in America."
5198,3534,Paradise,0452280397,9780452280397,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558921210l/5198._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558921210l/5198._SX50_.jpg,1999,4,1,eng,Plume (Penguin Books Ltd),false,2458248,67,47050,84730,22270,1032,5:6598|4:7800|3:5542|2:1584|1:746|total:22270,1997,,,3.80,20175,833,['3534'],['Toni Morrison'],['3.91'],[],[],[],"""They shoot the white girl first. With the rest they can take their time."" So begins this visionary work from a storyteller. Toni Morrison's first novel since she was awarded the Nobel Prize for Literature, Paradise opens with a horrifying scene of mass violence and chronicles its genesis in an all-black small town in rural Oklahoma. <br /><br />Founded by the descendants of freed slaves and survivors in exodus from a hostile world, the patriarchal community of Ruby is built on righteousness, rigidly enforced moral law, and fear. But seventeen miles away, another group of exiles has gathered in a promised land of their own. And it is upon these women in flight from death and despair that nine male citizens of Ruby will lay their pain, their terror, and their murderous rage.<br /><br />In prose that soars with the rhythms, grandeur, and tragic arc of an epic poem, Toni Morrison challenges our most fiercely held beliefs as she weaves folklore and history, memory and myth into an unforgettable meditation of race, religion, gender, and a far-off past that is ever present."
37398,3534,Jazz,0452269652,9780452269651,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317531331l/37398._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317531331l/37398._SX50_.jpg,1993,4,1,eng,Plume,false,1135883,90,48622,83196,21794,1247,5:5956|4:8073|3:5960|2:1439|1:366|total:21794,1992,,,3.82,18681,920,['3534'],['Toni Morrison'],['3.91'],[],[],[],"In the winter of 1926, when everybody everywhere sees nothing but good things ahead, Joe Trace, middle-aged door-to-door salesman of Cleopatra beauty products, shoots his teenage lover to death. At the funeral, Joe’s wife, Violet, attacks the girl’s corpse. This passionate, profound story of love and obsession brings us back and forth in time, as a narrative is assembled from the emotions, hopes, fears, and deep realities of black urban life."
23602473,3534,God Help the Child,0307594173,9780307594174,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463008449l/23602473._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463008449l/23602473._SY75_.jpg,2015,4,21,eng,Knopf,false,43212054,65,55871,83165,22234,3121,5:5203|4:8671|3:6190|2:1726|1:444|total:22234,2014,12,,3.74,17061,2401,['3534'],['Toni Morrison'],['3.91'],[],[],[],"Spare and unsparing, God Help the Child—the first novel by Toni Morrison to be set in our current moment—weaves a tale about the way the sufferings of childhood can shape, and misshape, the life of the adult.<br /><br />Spare and unsparing, God Help the Child is a searing tale about the way childhood trauma shapes and misshapes the life of the adult. At the center: a woman who calls herself Bride, whose stunning blue-black skin is only one element of her beauty, her boldness and confidence, her success in life; but which caused her light-skinned mother to deny her even the simplest forms of love until she told a lie that ruined the life of an innocent woman, a lie whose reverberations refuse to diminish ... Booker, the man Bride loves and loses, whose core of anger was born in the wake of the childhood murder of his beloved brother ... Rain, the mysterious white child, who finds in Bride the only person she can talk to about the abuse she's suffered at the hands of her prostitute mother ... and Sweetness, Bride's mother, who takes a lifetime to understand that ""what you do to children matters. And they might never forget."""
3009435,3534,A Mercy,0307264238,9780307264237,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,11,11,eng,Knopf Publishing Group,false,3039966,72,40808,74340,20094,2711,5:4691|4:7509|3:5626|2:1703|1:565|total:20094,2008,,,3.70,17787,2381,['3534'],['Toni Morrison'],['3.91'],[],[],[],"In the 1680s the slave trade in the Americas is still in its infancy. Jacob Vaark is an Anglo-Dutch trader and adventurer, with a small holding in the harsh North. Despite his distaste for dealing in “flesh,” he takes a small slave girl in part payment for a bad debt from a plantation owner in Catholic Maryland. <br />This is Florens, who can read and write and might be useful on his farm. Rejected by her mother, Florens looks for love, first from Lina, an older servant woman at her new master's house, and later from the handsome blacksmith, an African, never enslaved, who comes riding into their lives.<br />A Mercy reveals what lies beneath the surface of slavery. But at its heart, like Beloved, it is the ambivalent, disturbing story of a mother and a daughter - a mother who casts off her daughter in order to save her, and a daughter who may never exorcise that abandonment."
11359,3534,Tar Baby,1400033446,9781400033447,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,6,8,eng,Vintage,false,2174297,24,33622,66865,17000,577,5:5248|4:6607|3:4122|2:808|1:215|total:17000,1981,,,3.93,16006,469,['3534'],['Toni Morrison'],['3.91'],[],[],[],"Ravishingly beautiful and emotionally incendiary, <b>Tar Baby</b><i> </i>is Toni Morrison’s reinvention of the love story. Jadine Childs is a black fashion model with a white patron, a white boyfriend, and a coat made out of ninety perfect sealskins. Son is a black fugitive who embodies everything she loathes and desires. As Morrison follows their affair, which plays out from the Caribbean to Manhattan and the deep South, she charts all the nuances of obligation and betrayal between blacks and whites, masters and servants, and men and women."
13152998,3534,Home,0307594165,9780307594167,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333576666l/13152998._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333576666l/13152998._SX50_.jpg,2012,5,8,,Knopf,false,18153294,67,38197,66472,17674,2361,5:3966|4:7179|3:5123|2:1151|1:255|total:17674,2011,4,3,3.76,14318,1899,['3534'],['Toni Morrison'],['3.91'],[],[],[],"America's most celebrated novelist, Nobel Prize-winner Toni Morrison extends her profound take on our history with this twentieth-century tale of redemption: a taut and tortured story about one man's desperate search for himself in a world disfigured by war. <br /><br />Frank Money is an angry, self-loathing veteran of the Korean War who, after traumatic experiences on the front lines, finds himself back in racist America with more than just physical scars. His home may seem alien to him, but he is shocked out of his crippling apathy by the need to rescue his medically abused younger sister and take her back to the small Georgia town they come from and that he's hated all his life. As Frank revisits his memories from childhood and the war that have left him questioning his sense of self, he discovers a profound courage he had thought he could never possess again. <br /><br />A deeply moving novel about an apparently defeated man finding his manhood - and his home."
