id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
640608,119735,A Bird of Paper,0821406612,9780821406618,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464712592l/640608._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464712592l/640608._SX50_.jpg,,,,,,false,626802,2,14,25,7,1,5:3|4:0|3:3|2:0|1:1|total:7,1982,,,3.57,6,1,"['119735', '51703']","['Vicente Aleixandre', 'Willis Barnstone']","['3.92', '4.16']",['568833'],['David Lee Garrison'],['3.61'],
7492140,119735,Twenty Poems,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329273011l/7492140._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329273011l/7492140._SY75_.jpg,1977,,,eng,,false,9635470,1,16,24,6,1,5:2|4:2|3:2|2:0|1:0|total:6,1977,,,4.00,6,1,['119735'],['Vicente Aleixandre'],['3.92'],"['5424911', '31918']","['Robert Bly', 'Lewis Hyde']","['4.04', '4.08']",
43434141,119735,POESÍA COMPLETA,,9788426402813,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546370303l/43434141._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546370303l/43434141._SY75_.jpg,2017,,,spa,LUMEN,false,67519079,1,10,20,4,1,5:4|4:0|3:0|2:0|1:0|total:4,,,,5.00,4,1,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],"Cuando se cumplen cuarenta años de la concesión del Premio Nobel de Literatura a Vicente Aleixandre, publicamos una nueva edición de su poesía completa, al cuidado de Alejandro Sanz, máximo especialista en su obra.<br /><br />«Cuerpo feliz que fluye entre mis manos,<br />rostro amado donde contemplo el mundo,<br />donde graciosos pájaros se copian fugitivos,<br />volando a la región donde nada se olvida.»<br /><br />Vicente Aleixandre es el poeta del amor, de la contemplación y del conocimiento. Su poesía es irreductible e incomparable y su lectura constituye una experiencia única, llena de iluminaciones.<br /><br />Alejandro Sanz nos ofrece en este libro la disposición definitiva del canon de Aleixandre, que queda completado con material inédito. Tenemos así la oportunidad de calibrar la verdadera dimensión de uno de los poetas más originales e influyentes del siglo XX hispánico, miembro de la generación del 27 y mentor de varias generaciones de poetas.<br /><br />Con este volumen, Aleixandre entre en el siglo XXI."
8126244,119735,Homenaje A La Madre: Poemas,,9789870701408,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,11,,spa,Clarín,false,12921926,1,22,18,5,0,5:2|4:0|3:2|2:1|1:0|total:5,2007,11,,3.60,5,0,"['3513860', '13847', '5406316', '3513862', '242293', '344109', '39096', '735273', '54952', '1331525', '25575', '270540', '3513864', '72605', '25536', '119735', '655743', '3513865', '44150', '947', '175807', '7469', '36401', '57189', '337500', '263663', '3513866']","['Silvia Fresquet', 'Charles Baudelaire', 'Baldomero Fernández Moreno', 'Francisco Villaespesa', 'Diana Bellessi', 'Olga Orozco', 'José Martí', 'Roberto Juarroz', 'Rafael Alberti', 'Francisco Jose Madariaga', 'Rubén Darío', 'Arturo Carrera', 'José Pedroni', 'Arthur Rimbaud', 'Miguel de Unamuno', 'Vicente Aleixandre', 'Gonzalo Rojas', 'María Elena Walsh', 'Federico García Lorca', 'William Shakespeare', 'Alfonsina Storni', 'Octavio Paz', 'Amado Nervo', 'Dylan Thomas', 'Juan Gelman', 'Delmira Agustini', 'E.Molina']","['3.60', '4.21', '4.04', '3.88', '3.73', '4.18', '4.10', '4.52', '3.79', '3.67', '3.88', '3.91', '3.30', '4.33', '3.90', '3.92', '4.20', '4.22', '3.98', '3.87', '3.97', '4.14', '3.93', '4.16', '4.02', '4.07', '3.60']",[],[],[],
10481688,119735,"Poemas Amorosos, Antologia (Intemporales)",9500301822,9789500301824,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,6,1,,Losada,false,15387150,1,7,17,4,0,5:2|4:1|3:1|2:0|1:0|total:4,1998,6,,4.25,4,0,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],
2153315,119735,Nacimiento Ultimo: Historia del Corazon,8470308408,9788470308406,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464712654l/2153315._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464712654l/2153315._SY75_.jpg,,,,,,false,2158814,1,10,17,4,0,5:1|4:3|3:0|2:0|1:0|total:4,2001,12,,4.25,4,0,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],"La poesía de Vicente Aleixandre (1898-1984) constituye una de las cumbres de la poesía moderna en español, reconocida con el Premio Nobel en 1977. El lector de este volumen apreciará cómo el poeta pasó desde una poesía cósmica, patente en Nacimiento último (1953), libro de compleja y larga escritura, hasta una poesía de sen"
28110060,119735,Los Comuneros: Romance de la dignidad comunera frente al absolutismo,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,48117866,1,6,15,3,0,5:3|4:0|3:0|2:0|1:0|total:3,,,,5.00,3,0,"['1086745', '14740235', '14740236', '119735', '14740237']","['Luis Lopez Alvarez', 'Miryam Anllo Vento', 'Antonio Guansés', 'Vicente Aleixandre', 'Valentín Carrera González']","['4.09', '5.00', '5.00', '3.92', '4.50']",[],[],[],
1914277,119735,Antología Esencial,8475302033,9788475302034,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409252958l/1914277._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409252958l/1914277._SX50_.jpg,1983,1,1,,Orbis Ediciones,false,1916281,1,4,15,4,0,5:2|4:0|3:1|2:1|1:0|total:4,1983,1,1,3.75,4,0,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],
1914296,119735,La destrucción o el amor. Sombra del paraíso,8432222356,9788432222351,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567941098l/1914296._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567941098l/1914296._SY75_.jpg,1984,8,,spa,,false,73282533,2,20,14,4,1,5:1|4:2|3:0|2:0|1:1|total:4,1985,5,1,3.50,3,1,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],
3047350,119735,The Espada Como Labios   Pasion De La Tierra (Spanish Edition),9500301725,9789500301725,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,3078009,1,6,12,3,0,5:0|4:3|3:0|2:0|1:0|total:3,,,,4.00,3,0,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],
